File,Title,Summary,Glossary,Outline,Image,Markdown
"""Thinking-Fast-and-Slow-exported.pdf""",Understanding Judgment and Decision-Making: Insights from Amos Tversky,"This document presents an exploration of judgment and decision-making, emphasizing the psychological insights gained from the collaboration between Amos Tversky and the author. It details their research on heuristics and biases that influence human judgments, the role of intuition, and the implications for various fields, while also honoring Tversky’s contributions to the field.","<table border=""1"">
<thead><tr><th>Term</th><th>Definition</th></tr></thead>
<tbody>
<tr><td>1. **Heuristics**</td><td>Mental shortcuts or rules of thumb that simplify decision-making processes but can lead to systematic biases.</td></tr>
<tr><td>2. **Biases**</td><td>Systematic errors in judgment that occur in particular situations or conditions due to reliance on heuristics.</td></tr>
<tr><td>3. **Availability Heuristic**</td><td>A cognitive bias that causes individuals to estimate the likelihood of events based on how easily examples can be recalled, often influenced by recent media coverage.</td></tr>
<tr><td>4. **Anchoring Effect**</td><td>The human tendency to rely heavily on the first piece of information encountered (the ""anchor"") when making decisions.</td></tr>
<tr><td>5. **Prospect Theory**</td><td>A behavioral economic theory that describes how people make decisions between alternatives that involve risk, valuing potential losses and gains differently.</td></tr>
<tr><td>6. **Regression to the Mean**</td><td>The phenomenon where extreme observations tend to be closer to the average on subsequent measurements, rather than persisting at an extreme level.</td></tr>
<tr><td>7. **Endowment Effect**</td><td>The psychological bias where people assign higher value to items they own compared to items they do not own.</td></tr>
<tr><td>8. **Cognitive Ease**</td><td>The mental state where thoughts occur easily and are processed with little effort, often leading to a preference for ideas that require less cognitive strain.</td></tr>
</tbody></table>","<ul>
<li>1. Introduction</li>
<li>2. Part I: Two Systems</li>
<li>1.1 The Characters of the Story</li>
<li>1.2 Attention and Effort</li>
<li>1.3 The Lazy Controller</li>
<li>1.4 The Associative Machine</li>
<li>1.5 Cognitive Ease</li>
<li>1.6 Norms, Surprises, and Causes</li>
<li>1.7 A Machine for Jumping to Conclusions</li>
<li>1.8 How Judgments Happen</li>
<li>1.9 Answering an Easier Question</li>
<li>3. Part II: Heuristics and Biases</li>
<li>2.1 The Law of Small Numbers</li>
<li>2.2 Anchors</li>
<li>2.3 The Science of Availability</li>
<li>2.4 Availability, Emotion, and Risk</li>
<li>2.5 Tom W’s Specialty</li>
<li>2.6 Linda: Less is More</li>
<li>2.7 Causes Trump Statistics</li>
<li>2.8 Regression to the Mean</li>
<li>2.9 Taming Intuitive Predictions</li>
<li>4. Part III: Overconfidence</li>
<li>3.1 The Illusion of Understanding</li>
<li>3.2 The Illusion of Validity</li>
<ul>
<li>3.3 Intuitions Vs. Formulas</li>
</ul>
<li>3.4 Expert Intuition: When Can We Trust It?</li>
<li>3.5 The Outside View</li>
<li>3.6 The Engine of Capitalism</li>
<li>5. Part IV: Choices</li>
<li>4.1 Bernoulli’s Errors</li>
<li>4.2 Prospect Theory</li>
<li>4.3 The Endowment Effect</li>
<li>4.4 Bad Events</li>
<li>4.5 The Fourfold Pattern</li>
<li>4.6 Rare Events</li>
<li>4.7 Risk Policies</li>
<li>4.8 Keeping Score</li>
<li>4.9 Reversals</li>
<li>4.10 Frames and Reality</li>
<li>6. Part V: Two Selves</li>
<li>5.1 Two Selves</li>
<li>5.2 Life as a Story</li>
<li>5.3 Experienced Well-Being</li>
<li>5.4 Thinking About Life</li>
<li>7. Conclusions</li>
<li>8. Appendix</li>
<li>6.1 Judgment Under Uncertainty</li>
<li>6.2 Choices, Values, and Frames</li>
<li>9. Acknowledgments</li>
<li>10. Notes</li>
<li>11. Index</li>
</ul>",Thinking-Fast-and-Slow-exported.png,Thinking-Fast-and-Slow-exported.md
"""apxA-uncertainty-TFaS.pdf""",Judgment Under Uncertainty: Heuristics and Biases,"The document explores how people assess uncertain events and make probability judgments, highlighting the reliance on heuristics that simplify complex decision-making tasks, leading to systematic biases and errors in judgment.","<table border=""1"">
<thead><tr><th>Term</th><th>Definition</th></tr></thead>
<tbody>
<tr><td>1. Heuristic</td><td>A mental shortcut or rule of thumb that simplifies decision-making and problem-solving.</td></tr>
<tr><td>2. Representativeness</td><td>A heuristic that evaluates the probability of an event based on how similar it is to a prototype or stereotype.</td></tr>
<tr><td>3. Base Rate</td><td>The general prevalence or frequency of a particular event or characteristic within a given population.</td></tr>
<tr><td>4. Insensitivity</td><td>A tendency to overlook important information, such as sample size or base rates, when making judgments.</td></tr>
<tr><td>5. Gambler’s Fallacy</td><td>The erroneous belief that past random events can influence future outcomes in a way that restores balance.</td></tr>
<tr><td>6. Conservatism</td><td>The tendency to underreact to new evidence when updating estimates of probabilities or beliefs.</td></tr>
<tr><td>7. Regression Toward the Mean</td><td>A statistical phenomenon where extreme measurements tend to be closer to the average upon retesting or repeated measurements.</td></tr>
<tr><td>8. Predictability</td><td>The extent to which future events can be forecasted based on existing data or evidence.</td></tr>
<tr><td>9. Illusion of Validity</td><td>The erroneous belief that predictive judgments based on representative samples are accurate, despite evidence to the contrary.</td></tr>
<tr><td>10. Sample Size</td><td>The number of observations or replicates used in statistical analysis, which affects the reliability of results.</td></tr>
</tbody></table>","<ul>
<li>1. Introduction</li>
<li>1.1 Overview of decision-making under uncertainty</li>
<li>1.2 Beliefs and probability assessment</li>
<li>2. Heuristics Employed in Probability Judgment</li>
<li>2.1 Representativeness Heuristic</li>
<ul>
<li>2.1.1 Definition and Function</li>
<li>2.1.2 Insensitivity to Prior Probabilities</li>
<li>2.1.3 Insensitivity to Sample Size</li>
<li>2.1.4 Misconceptions of Chance</li>
</ul>
<li>2.2 Predictability and Judgment</li>
<ul>
<li>2.2.1 Insensitivity to Predictability</li>
<li>2.2.2 Illusion of Validity</li>
</ul>
<li>2.3 Regression Toward the Mean</li>
<ul>
<li>2.3.1 Definition and Examples</li>
<li>2.3.2 Common Misconceptions</li>
</ul>
<li>3. Conclusion</li>
<li>3.1 Implications of Heuristics and Biases</li>
<li>3.2 Recommendations for Improved Judgment</li>
</ul>",apxA-uncertainty-TFaS.jpeg,apxA-uncertainty-TFaS.md
"""apxB-choices-TFaS.pdf""","Choices, Values, and Frames: An Examination of Decision Making Under Risk","This document discusses the cognitive and psychophysical factors influencing decision-making in contexts of both risk and certainty, emphasizing concepts such as risk aversion and risk seeking, the impact of framing on preferences, and the implications of subjective value versus expected utility in choices.","<table border=""1"">
<thead><tr><th>Term</th><th>Definition</th></tr></thead>
<tbody>
<tr><td>- **Risk Aversion**</td><td>A tendency to prefer a sure outcome over a gamble with a higher or equal expected value.</td></tr>
<tr><td>- **Risk Seeking**</td><td>A tendency to prefer a gamble with a lower or equal expected value over a sure outcome, typically observed in the domain of losses.</td></tr>
<tr><td>- **Prospect Theory**</td><td>A behavioral economic theory that describes how people choose between probabilistic alternatives that involve risk, illustrating deviations from traditional utility theory.</td></tr>
<tr><td>- **Framing Effect**</td><td>The phenomenon wherein people's decisions are influenced by the presentation or context of information, leading to different outcomes despite identical underlying scenarios.</td></tr>
<tr><td>- **S-shaped Value Function**</td><td>A representation of subjective value that is concave for gains and convex for losses, indicating loss aversion where losses weigh heavier than equivalent gains.</td></tr>
<tr><td>- **Subjective Value**</td><td>The perceived worth of a potential outcome to an individual, which may differ from its monetary value.</td></tr>
<tr><td>- **Expected Utility**</td><td>A model in decision theory that calculates the utility of outcomes based on their probabilities and associated values.</td></tr>
</tbody></table>","<ul>
<li>1. Introduction</li>
<ul>
<li>1.1 Normative vs. Descriptive Analysis</li>
</ul>
<li>1.2 Risky and Riskless Choices</li>
<li>2. Risky Choices</li>
<li>2.1 Psychophysical Approach</li>
<li>2.2 Risk Aversion and Expectation</li>
<li>2.3 Prospect Theory</li>
<li>3. Framing of Outcomes</li>
<li>3.1 Examples of Framing Effects</li>
<li>3.2 Violation of Invariance</li>
<li>3.3 Dominance Violations</li>
<li>4. The Psychophysics of Chances</li>
<li>4.1 Decision Weights and Probabilities</li>
<li>4.2 Implications for Preferences among Risky Options</li>
</ul>",apxB-choices-TFaS.jpeg,apxB-choices-TFaS.md
"""apxC-morebooks-TFaS.pdf""",Foundations of Judgment and Well-Being in Psychological Research,"This document reviews significant works by Daniel Kahneman and associates, focusing on the psychology of judgment, decision-making heuristics and biases, and the analysis of well-being across cultures, emphasizing their implications for understanding human behavior and happiness.","<table border=""1"">
<thead><tr><th>Term</th><th>Definition</th></tr></thead>
<tbody>
<tr><td>1. Heuristics</td><td>Mental shortcuts or rules of thumb that simplify decision-making processes.</td></tr>
<tr><td>2. Biases</td><td>Systematic deviations from rationality or objective standards in judgment.</td></tr>
<tr><td>3. Well-Being</td><td>A comprehensive assessment of a person's overall happiness and life satisfaction.</td></tr>
<tr><td>4. Intuitive Judgment</td><td>Quick, automatic thought processes that often occur without conscious deliberation.</td></tr>
<tr><td>5. Hedonic Psychology</td><td>A field exploring the nature of pleasure and happiness.</td></tr>
<tr><td>6. Judgment Under Uncertainty</td><td>The examination of how people make decisions in situations with incomplete information.</td></tr>
<tr><td>7. Cultural Differences</td><td>Variations in beliefs and practices among different societies that affect perceptions of well-being.</td></tr>
</tbody></table>","<ul>
<li>1. Introduction to Psychological Research</li>
<li>1.1 Overview of Key Works</li>
<ul>
<li>1.1.1 Heuristics and Biases</li>
<li>1.1.2 Well-Being Studies</li>
</ul>
<li>2. Heuristics and Biases</li>
<li>2.1 Concepts and Definitions</li>
<li>2.2 Applications in Decision Making</li>
<ul>
<li>2.2.1 Examples and Case Studies</li>
</ul>
<li>3. Well-Being and Happiness</li>
<li>3.1 Cultural Perspectives</li>
<ul>
<li>3.1.1 International Differences in Well-Being</li>
</ul>
<li>3.2 Foundations of Hedonic Psychology</li>
<ul>
<li>3.2.1 Measurement and Assessment Techniques</li>
</ul>
</ul>",,apxC-morebooks-TFaS.md
"""ch01-characters-TFaS.pdf""",The Dual Systems of Thinking: Understanding System 1 and System 2,"This document explores the dual systems of thinking, System 1 and System 2, as proposed by psychologists Keith Stanovich and Richard West, highlighting their automatic and deliberative functions, the interaction between them, and how they affect our perceptions, decisions, and behaviors in various contexts.","<table border=""1"">
<thead><tr><th>Term</th><th>Definition</th></tr></thead>
<tbody>
<tr><td>- **System 1**</td><td>The automatic, fast-thinking system that operates with little or no effort and no sense of voluntary control, responsible for immediate impressions, intuitions, and emotions.</td></tr>
<tr><td>- **System 2**</td><td>The slower, deliberative system that allocates attention to effortful mental activities requiring concentration and is associated with agency, choice, and reasoning.</td></tr>
<tr><td>- **Cognitive Illusions**</td><td>Errors in judgment and decision-making that arise from the intuitive responses of System 1, often difficult to correct even when recognized by System 2.</td></tr>
<tr><td>- **Attention**</td><td>The cognitive process of selectively concentrating on specific information while ignoring other stimuli, with limitations affecting performance in effortful tasks.</td></tr>
<tr><td>- **Premonition**</td><td>An intuitive recognition or feeling about a future event, often generated by System 1 automatically.</td></tr>
<tr><td>- **Automatic Pilot**</td><td>A mental state where actions are performed without conscious thought, heavily reliant on System 1's functions.</td></tr>
</tbody></table>","<ul>
<li>1. Introduction to Dual Systems</li>
<li>1.1 Description of System 1</li>
<li>1.2 Description of System 2</li>
<li>2. The Interaction of Systems</li>
<li>2.1 Automatic Processes of System 1</li>
<li>2.2 Effortful Processes of System 2</li>
<li>3. Conflicts Between Systems</li>
<li>3.1 Examples of Conflicts in Everyday Life</li>
<li>3.2 Cognitive Illusions and Their Impact</li>
<li>4. Attention and Its Limitations</li>
<li>4.1 The Budget of Attention</li>
<li>4.2 Effects of Distractions on Performance</li>
<li>5. Conclusion: The Efficiency of the System Division</li>
</ul>",ch01-characters-TFaS.jpeg,ch01-characters-TFaS.md
"""ch02-attention-effort-TFaS.pdf""",The Dynamics of Attention and Effort in Cognitive Processing,"This document explores the interplay between System 1 and System 2 in human cognition, emphasizing the effortful nature of System 2's operations, the biological indicators of mental effort such as pupil dilation, and the implications of cognitive loads on attention and task performance in various contexts.","<table border=""1"">
<thead><tr><th>Term</th><th>Definition</th></tr></thead>
<tbody>
<tr><td>1. **System 1**</td><td>The automatic, intuitive, and fast cognitive process responsible for quick judgments and reactions.</td></tr>
<tr><td>2. **System 2**</td><td>The deliberative, effortful, and slower cognitive process that engages in reasoning, self-control, and complex decision-making.</td></tr>
<tr><td>3. **Cognitive Pupillometry**</td><td>A research method that measures pupil size to assess mental effort and cognitive load.</td></tr>
<tr><td>4. **Add-1/ Add-3 Task**</td><td>Cognitive exercises designed to test mental effort by requiring participants to incrementally modify and report numerical strings.</td></tr>
<tr><td>5. **Executive Control**</td><td>The cognitive processes that manage and regulate thoughts to perform tasks or override automatic responses.</td></tr>
<tr><td>6. **Task Set**</td><td>A mental framework that guides behavior towards achieving specific tasks and goals, particularly during complex cognitive operations.</td></tr>
<tr><td>7. **Pupil Dilation**</td><td>The widening of the pupil, which serves as an indicator of mental effort and cognitive load.</td></tr>
<tr><td>8. **Mental Overload**</td><td>A condition arising when cognitive demands exceed an individual's working memory capacity, leading to reduced performance on tasks.</td></tr>
<tr><td>9. **Law of Least Effort**</td><td>A principle stating that individuals tend to choose the least demanding path to achieve their goals.</td></tr>
</tbody></table>","<ul>
<li>1. Introduction to Attention and Effort</li>
<li>1.1 Overview of System 1 and System 2</li>
<li>1.2 Importance of Cognitive Load</li>
<li>2. Experimental Evidence of Mental Effort</li>
<li>2.1 The Add-1 and Add-3 Tasks</li>
<li>2.2 Measuring Pupil Dilation</li>
<li>2.3 Findings from Cognitive Pupillometry Studies</li>
<li>3. Implications of Cognitive Load</li>
<li>3.1 Effects on Task Performance</li>
<li>3.2 Executive Control and Task Switching</li>
<li>3.3 The Law of Least Effort in Daily Life</li>
<li>4. Conclusion</li>
<li>4.1 Summation of Findings</li>
<li>4.2 Future Directions for Research</li>
</ul>",,ch02-attention-effort-TFaS.md
"""ch03-lazy-controller-TFaS.pdf""",The Lazy Controller: Understanding Cognitive Effort and Self-Control,"This document explores the relationship between cognitive effort, self-control, and decision-making, detailing how mental processes operate in System 1 and System 2. It highlights the concept of ego depletion, demonstrating how cognitive load and self-control exert a shared demand for mental resources, ultimately affecting behavior and judgment.","<table border=""1"">
<thead><tr><th>Term</th><th>Definition</th></tr></thead>
<tbody>
<tr><td>**System 1**</td><td>The fast, automatic, and intuitive mode of thinking that relies on heuristics and instinctual judgments.</td></tr>
<tr><td>**System 2**</td><td>The slower, more deliberative, and analytical mode of thinking that requires effort and can monitor and control System 1’s impulses.</td></tr>
<tr><td>**Ego Depletion**</td><td>A psychological phenomenon where exertion of self-control leads to reduced ability to exert further self-control.</td></tr>
<tr><td>**Flow**</td><td>A state of deep focus and immersion in an activity characterized by enjoyment and effortless concentration.</td></tr>
<tr><td>**Cognitive Load**</td><td>The total amount of mental effort being used in the working memory.</td></tr>
<tr><td>**Intuitive Answer**</td><td>The immediate response that comes to mind, often without critical engagement or verification.</td></tr>
<tr><td>**Glucose Depletion**</td><td>The reduction of glucose levels in the brain associated with extensive mental effort, impacting cognitive performance.</td></tr>
</tbody></table>","<ul>
<li>1. The Nature of System 1 and System 2</li>
<li>1.1 Characteristics of System 1</li>
<li>1.2 Characteristics of System 2</li>
<li>1.3 Interactions Between System 1 and System 2</li>
<li>2. Cognitive Effort and Self-Control</li>
<li>2.1 The Concept of Ego Depletion</li>
<li>2.2 Effects of Cognitive Load</li>
<li>2.3 Studies on Self-Control and Decision Making</li>
<li>3. Implications of Cognitive Effort</li>
<li>3.1 Flow and Optimal Experience</li>
<li>3.2 Intuitive Judgments and Errors</li>
<li>3.3 The Role of Glucose in Mental Effort</li>
</ul>",,ch03-lazy-controller-TFaS.md
"""ch04-associative-machine-TFaS.pdf""",Understanding the Associative Machine: The Mechanism of Priming and Automatic Responses,"This document explores the workings of System 1, particularly the process of associative activation and priming, demonstrating how exposure to certain stimuli can trigger automatic emotional and cognitive responses, influencing actions and decisions without conscious awareness.","<table border=""1"">
<thead><tr><th>Term</th><th>Definition</th></tr></thead>
<tbody>
<tr><td>- **System 1**</td><td>The automatic, fast, and unconscious thought process responsible for immediate emotional responses and associative thinking.</td></tr>
<tr><td>- **System 2**</td><td>The deliberate, slower, and conscious thought process responsible for analytical reasoning and decision-making.</td></tr>
<tr><td>- **Associative Activation**</td><td>The process in which one idea evokes related ideas, leading to a cascade of interconnected emotional, cognitive, and behavioral responses.</td></tr>
<tr><td>- **Priming**</td><td>A psychological phenomenon where exposure to a stimulus influences a subsequent response to a different stimulus, often without conscious awareness.</td></tr>
<tr><td>- **Ideomotor Effect**</td><td>The phenomenon where thinking about an action influences the tendency to perform that action automatically.</td></tr>
<tr><td>- **Reciprocal Priming**</td><td>The mutual influence of thoughts and actions, where thinking about something can affect behavior, and vice versa.</td></tr>
<tr><td>- **Associative Memory**</td><td>A network of ideas in the brain linked by associations, allowing for the retrieval and activation of related concepts.</td></tr>
<tr><td>- **Cleansing Effect**</td><td>A psychological impulse triggered by feelings of guilt or shame, leading individuals to engage in cleaning behaviors to alleviate those feelings.</td></tr>
</tbody></table>","<ul>
<li>1. Introduction to System 1</li>
<li>1.1 The Effect of Bananas and Vomit</li>
<li>1.2 Automatic Responses to Words</li>
<li>2. Mechanism of Associative Thinking</li>
<li>2.1 Principles of Association</li>
<ul>
<li>2.1.1 Resemblance</li>
<li>2.1.2 Contiguity</li>
<li>2.1.3 Causality</li>
</ul>
<li>2.2 Associative Memory</li>
<li>3. The Marvels of Priming</li>
<li>3.1 Measurement Improvements in Priming Research</li>
<li>3.2 Effects of Priming on Behavior</li>
<ul>
<li>3.2.1 The “Florida Effect”</li>
<li>3.2.2 Ideomotor Effects</li>
</ul>
<li>3.3 Reciprocal Links in Priming</li>
<li>4. Implications of Priming on Judgment</li>
<li>4.1 Influence of Primes on Voting Behavior</li>
<li>4.2 The Impact of Contextual Reminders</li>
<li>4.3 The Challenge to Conscious Control</li>
<li>5. Conclusion</li>
<li>5.1 The Importance of Understanding Priming</li>
<li>5.2 Implications for Society</li>
</ul>",ch04-associative-machine-TFaS.jpeg,ch04-associative-machine-TFaS.md
"""ch05-cognitive-ease-TFaS.pdf""",Cognitive Ease: Mechanisms and Implications for Memory and Belief,"This document explores the concept of cognitive ease, illustrating how various factors influence our mental processing and the perceptions of truth and familiarity. It discusses the interplay between cognitive ease and strain, the effects of memory illusions, and the implications for persuasion in communication.","<table border=""1"">
<thead><tr><th>Term</th><th>Definition</th></tr></thead>
<tbody>
<tr><td>- **Cognitive Ease**</td><td>A mental state where information is processed smoothly, leading to feelings of comfort and familiarity.</td></tr>
<tr><td>- **Cognitive Strain**</td><td>A state indicating the need for more effortful thinking, often caused by difficult or unfamiliar information.</td></tr>
<tr><td>- **System 1**</td><td>The intuitive, automatic, and fast-thinking part of the brain that operates effortlessly.</td></tr>
<tr><td>- **System 2**</td><td>The analytical, deliberate, and slow-thinking part that requires conscious effort.</td></tr>
<tr><td>- **Illusions of Truth**</td><td>The phenomenon where repeated exposure to a statement increases the likelihood of it being perceived as true.</td></tr>
<tr><td>- **Mere Exposure Effect**</td><td>A psychological phenomenon whereby individuals develop a preference for familiar stimuli through repeated exposure.</td></tr>
</tbody></table>","<ul>
<li>1. Cognitive Ease</li>
<li>1.1 Definition and Mechanism</li>
<li>1.2 Effects on Mood and Perception</li>
<li>1.3 Transitions Between Systems</li>
<li>2. Illusions of Remembering</li>
<li>2.1 Memory Illusions Explained</li>
<li>2.2 Experimental Examples</li>
<li>3. Illusions of Truth</li>
<ul>
<li>3.1 Familiarity vs. Truth</li>
</ul>
<li>3.2 Implications for Judgment and Belief</li>
<li>4. Persuasive Communication Strategies</li>
<li>4.1 Clarity and Legibility</li>
<li>4.2 Use of Simple Language</li>
<li>4.3 Importance of Rhyming and Pronounceability</li>
<li>5. Cognitive Strain and Effort</li>
<li>5.1 Cognitive Reflection Test Example</li>
<li>5.2 Relationship Between Ease and Motivation</li>
<li>6. Evolutionary Perspective on Cognitive Ease</li>
<li>6.1 Biological Basis</li>
<li>6.2 Social Implications of Repetition</li>
</ul>",ch05-cognitive-ease-TFaS.jpeg,ch05-cognitive-ease-TFaS.md
"""ch06-norms-surprises-TFaS.pdf""","Understanding Human Cognition: Norms, Surprises, and Causality","This document explores the dual processing framework of human cognition through System 1 and System 2, focusing on how System 1 manages norms and expectations, assesses normality, and identifies causal relationships, while also highlighting the impact of norms on perception and how individuals construct coherent narratives from unexpected events.","<table border=""1"">
<thead><tr><th>Term</th><th>Definition</th></tr></thead>
<tbody>
<tr><td>1. **System 1**</td><td>The automatic, intuitive part of the mind that operates quickly and effortlessly, managing perceptions, norms, and associative links.</td></tr>
<tr><td>2. **System 2**</td><td>The deliberative, analytical part of the mind that requires conscious effort and is involved in reasoning and decision-making.</td></tr>
<tr><td>3. **Norms**</td><td>Shared standards or patterns of behavior within a society that dictate what is considered normal or acceptable.</td></tr>
<tr><td>4. **Causality**</td><td>The relationship between cause and effect, where one event (the cause) leads to another event (the effect).</td></tr>
<tr><td>5. **Cognitive Ease**</td><td>The mental state where information processing is smooth and easy, often leading to a preference for familiar ideas and concepts.</td></tr>
<tr><td>6. **Associative Coherence**</td><td>The principle by which information is connected in the mind based on its thematic relevance, leading to coherent interpretations of events.</td></tr>
<tr><td>7. **Surprise**</td><td>An emotional response arising from an unexpected event that challenges existing norms or expectations.</td></tr>
<tr><td>8. **Moses Illusion**</td><td>A cognitive phenomenon where individuals fail to recognize a factual inconsistency (such as attributing the ark story to Moses instead of Noah) due to associative links in memory.</td></tr>
<tr><td>9. **Intentional Causality**</td><td>The attribution of actions or events to the intentions or motives of an agent, as opposed to physical causality that involves mechanical processes.</td></tr>
</tbody></table>","<ul>
<li>1. Introduction to System 1 and System 2</li>
<li>1.1 Overview of System 1</li>
<li>1.2 Overview of System 2</li>
<li>2. Assessing Normality</li>
<li>2.1 Function of System 1 in Maintaining Norms</li>
<li>2.2 Role of Surprise in Understanding Expectations</li>
<li>2.3 Examples of Changing Expectations</li>
<li>3. The Role of Norms in Communication</li>
<li>3.1 Understanding Contextual Norms</li>
<li>3.2 Impact on Perception of Events</li>
<li>4. Causality and Intentions</li>
<li>4.1 Automatic Causal Thinking in System 1</li>
<li>4.2 Examples of Causation in Narrative Understanding</li>
<ul>
<li>4.3 Intentional vs. Physical Causality</li>
</ul>
<li>5. Implications of Norms and Causality in Decision Making</li>
<li>5.1 Interaction of System 1 and System 2</li>
<li>5.2 The Importance of Causal Reasoning</li>
<li>5.3 Consequences of Misinterpreted Causality</li>
</ul>",,ch06-norms-surprises-TFaS.md
