id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876789540,'Persuasion Fatigue' Is a Unique Form of Social Frustration,,"When people argue, a kind of frustration called persuasion fatigue can cloud their judgment and harm relationships",https://www.scientificamerican.com/article/persuasion-fatigue-is-a-unique-form-of-social-frustration,my_library,"behaviors, influence-persuasion, negotiation, patience",2022-11-18T22:32:54.000Z,https://static.scientificamerican.com/sciam/cache/file/ED97DCFB-CB45-4867-AB6BEA332896B9A9_source.jpg?w=1200,,False
876788665,How to have better arguments | Psyche Guides,,Arguing well isn’t just about winning. A philosophical approach will help you and the other person get much more out of it,https://psyche.co/guides/how-to-have-arguments-that-change-minds-including-your-own,my_library,"arguments, behaviors, influence-persuasion, negotiation",2022-10-01T15:23:35.000Z,https://images.aeonmedia.co/images/d1ed44d1-f746-41fb-982a-6d64c43ff413/original.jpg,,False
876786763,The Appeal to the Stone Fallacy: When People Are Dismissive During Discussions,,,https://effectiviology.com/appeal-to-the-stone-fallacy,my_library,"behaviors, feedback, influence-persuasion, negotiation",2022-07-18T15:20:35.000Z,,,False
876786711,Double Crux — A Strategy for Resolving Disagreement,,(Cross posted to LessWrong),https://www.rationality.org/resources/updates/2016/double-crux,my_library,"arguments, behaviors, feedback, negotiation",2022-07-18T15:17:35.000Z,https://www.rationality.org/assets/img/cfar-brain.jpg,,False
876786703,Beginner's Guide to Arguing Constructively,,How to turn arguments from vicious battles into productive dialogues.,http://liamrosen.com/arguments.html,my_library,"arguments, behaviors, feedback, influence-persuasion, negotiation",2022-07-18T15:16:57.000Z,http://www.liamrosen.com/argument_pyramid.png,,False
876786640,How to Negotiate with a Liar,,"People, including negotiators, lie every day, so when you’re trying to make a deal, it’s important to defend against deception. The best strategy, says the author, is to focus not on detecting lies but on preventing them. She outlines five tactics that research has shown to be effective: Encourage reciprocity. You can build trust and prompt other parties to disclose strategic information by sharing information yourself. Ask the right questions. Negotiators often lie by omission, keeping mum about relevant facts, but if directly asked, they are more likely to respond honestly. Watch for dodging. Don’t let your counterparts sidestep your questions—write them down in advance, take notes on the answers, and make sure you get the information you’re seeking. Don’t dwell on confidentiality. Studies show that the more you reassure others that you’ll protect their privacy, the more guarded and apt to lie they become. So be nonchalant when discussing sensitive topics. Cultivate leaks. People often reveal information unwittingly, so listen carefully for any slips and try indirect approaches to gaining information.",https://hbr.org/2016/07/how-to-negotiate-with-a-liar,my_library,"behaviors, honesty, negotiation",2022-07-18T15:11:31.000Z,https://hbr.org/resources/images/article_assets/2016/06/R1607J_BROSMIND.png,,False
876785120,Lessons in negotiation from Stalin at Yalta,,Why did you sting me? You'll drown too,https://abe-winter.github.io/2018/12/20/stalin.html,my_library,"behaviors, negotiation",2022-06-28T15:17:53.000Z,,,False
876785010,5 Reasons Good Deals Get Rejected,,Offering something reasonable isn’t enough.,https://hbr.org/2016/04/5-reasons-good-deals-get-rejected,my_library,"behaviors, negotiation, sales-salesmgmt",2022-06-24T03:29:24.000Z,https://hbr.org/resources/images/hbr_opengraph_940x490.png,,False
876783967,Learn Street Epistemology To Deal With Difficult People at Work | Code Capsule,,Learn the street epistemology conversation technique and how you can apply it at work.,https://codecapsule.com/2021/12/20/learn-street-epistemology-to-deal-with-difficult-people-at-work,my_library,"behaviors, empathy, influence-persuasion, negotiation",2022-05-28T00:57:11.000Z,https://i0.wp.com/codecapsule.com/wp-content/uploads/2021/12/street-epistemology-01-e1640031349250.jpeg?fit=600%2C320&ssl=1,,False
876778201,Finance,,"The case for the argumentative theory of reason, as made by The Office",https://zander.substack.com/p/reason-evolved-not-to-help-us-make,my_library,"behaviors, negotiation",2021-03-11T22:58:47.000Z,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fbucketeer-e05bbc84-baa3-437e-9518-adb32be77984.s3.amazonaws.com%2Fpublic%2Fimages%2F1d2e613f-3db8-40a2-996b-b7a829417b36_1000x750.jpeg",,False
