id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876793645,These are the mental processes required to tell a convincing lie,,The cognitive work involved in lying is relevant to lie detection and could help explain why some people are better liars,https://psyche.co/ideas/these-are-the-mental-processes-required-to-tell-a-convincing-lie,my_library,"behaviors, lying, speaking",2023-10-06T17:12:15.000Z,https://images.aeonmedia.co/images/e4c788c9-5d9c-41ba-9d1b-0805d8c4be5f/original.jpg,,False
876789563,The Secret To Talking To Someone Who Always Gets Defensive,,"Talking to someone who gets defensive can be frustrating. So, what can you do? Here's how to sidestep someone's personal fortifications.",https://www.fatherly.com/life/how-to-talk-to-someone-who-always-gets-defensive,my_library,"behaviors, influence-persuasion, listening, speaking",2022-11-22T00:56:20.000Z,https://imgix.bustle.com/uploads/image/2022/11/10/dbb37cee-7e2f-4b2b-98f3-6af1a9f1279c-gettyimages-932650136.jpg?w=1200&h=630&fit=crop&crop=faces&fm=jpg,,False
876788361,The Church of Interruption | Sam Bleckley,,A conversation with a Wizard,https://sambleckley.com/writing/church-of-interruption.html,my_library,"behaviors, listening, speaking",2022-08-22T12:11:12.000Z,,,False
876787769,Seven Things I Learnt Doing Stand-Up Comedy | Michael Gomes Vieira,,"I took part in a 6 week stand-up comedy course for beginners at The Comedy Store in Central London. At the end of the course, myself and the other co...",https://michaelgv.uk/posts/2022/08/seven-things-i-learnt-doing-stand-up-comedy,my_library,"behaviors, comedy-fun-humor, presentations-presenting, speaking",2022-08-15T18:01:36.000Z,,,False
876787436,Block Your Talk,,"This one of a series of essays on speaking. Find more here. You’ve written a great talk, you’ve made your deck (or not!) and you’ve practiced. But have you considered how you’ll move while speaking…",http://eleganthack.com/block-your-talk,my_library,"behaviors, presentations-presenting, speaking",2022-07-18T16:08:16.000Z,https://cdn-images-1.medium.com/max/880/1*2VaP2HN2xlkNEU63FzIrvg.jpeg,,False
876787435,6 Ways to Look More Confident During a Presentation,,Here’s what the best leaders do.,https://getpocket.com/explore/item/6-ways-to-look-more-confident-during-a-presentation,my_library,"behaviors, leadership, presentations-presenting, speaking",2022-07-18T16:08:09.000Z,https://hbr.org/resources/images/article_assets/2017/04/apr17-06-515043305.jpg,,False
876787383,People Literally Don't Know When to Shut Up--or Keep Talking--Science Confirms,,We are really bad at navigating a key transition point during one of the most basic social interactions,https://www.scientificamerican.com/article/people-literally-dont-know-when-to-shut-up-or-keep-talking-science-confirms,my_library,"behaviors, speaking",2022-07-18T16:05:49.000Z,https://static.scientificamerican.com/sciam/cache/file/215CFD03-5E8F-432F-930BA7CD2ED2D70C_source.jpg?w=1200,,False
876787363,"Bad at public speaking? The trick is to distill your message to these 15 words, says speech trainer",,"Mastering the art of public speaking has nothing to do with your personality, with overcoming shyness or learning to act confident. It's a technical skill that nearly anyone can acquire — just like cooking.",https://www.cnbc.com/2020/08/13/to-be-great-at-public-speaking-distill-message-15-words-speech-trainer-says.html,my_library,"behaviors, presentations-presenting, speaking",2022-07-18T16:05:02.000Z,https://image.cnbcfm.com/api/v1/image/106662245-1597331691725-GettyImages-969226262.jpg?v=1597331794&w=1920&h=1080,,False
876786759,9 Ways This Introvert Polished His Public Speaking Skills,,"Not all introverts suffer from public speaking anxiety. But if you do, here are some ideas to eliminate it and become a strong communicator.",https://www.riskology.co/introvert-speak,my_library,"behaviors, presentations-presenting, speaking",2022-07-18T15:20:23.000Z,https://i0.wp.com/www.riskology.co/wp-content/uploads/2015/09/presentation-flow.jpg?fit=2048%2C1286&ssl=1,,False
876786715,Tap into the power to persuade by using these 6 techniques of clear and compelling speech,,"Politicians and other public figures deploy particular rhetorical devices to communicate their ideas and to convince people, and it’s time that we all learned how to use them, says speechwriter Sim…",https://ideas.ted.com/tap-into-the-power-to-persuade-by-using-these-6-techniques-of-clear-and-compelling-speech,my_library,"behaviors, influence-persuasion, presentations-presenting, speaking",2022-07-18T15:17:55.000Z,https://ideas.ted.com/wp-content/uploads/sites/3/2019/09/web-ready_speaker-final.jpg,,False
876785039,Want to Win Someone Over? Talk Like They Do.,,"What does it take to become a more convincing communicator? New research suggests that linguistic mirroring — that is, adjusting your communication style to match that of your audience — is an effective tool to increase your ability to influence others. In this piece, the authors describe four key dimensions of linguistic mirroring, as well as several tactical strategies for leaders looking to win over a client, judge, or other important evaluator. Ultimately, they argue that building genuine relationships with key evaluators is the best way to gain insight into their linguistic preferences — but it’s up to all of us to make sure that we use the power of linguistic mirroring for good.",https://hbr.org/2020/12/want-to-win-someone-over-talk-like-they-do,my_library,"behaviors, influence-persuasion, speaking",2022-06-25T13:21:17.000Z,https://hbr.org/resources/images/article_assets/2020/11/Dec20_07_TracyWalker-1024x576.jpg,,False
876781088,The Four Desires Driving All Human Behavior: Bertrand Russell’s Magnificent,,"“Nothing in the world is more exciting than a moment of sudden discovery or invention, and many more people are capable of experiencing such moments than is sometimes thought.”",https://www.themarginalian.org/2015/09/21/bertrand-russell-nobel-prize-acceptance-speech,my_library,"behaviors, influence-persuasion, speaking",2021-12-27T16:40:04.000Z,https://www.themarginalian.org/wp-content/uploads/2012/05/bertrandrussell2.jpg?fit=600%2C315&ssl=1,,False
876779015,Bullshit and Intelligence,,"The term ""bullshitting"" (in addition to its colloquial use) is a technical psychological term that means, ""communication characterised by an intent to be convincing or impressive without concern for truth."" This is not the same as lying, in which one knows what they are saying is false. Bullshitters simply are indifferent to whether or not",https://theness.com/neurologicablog/index.php/bullshit-and-intelligence,my_library,"behaviors, influence-persuasion, speaking",2021-05-18T16:51:59.000Z,https://theness.com/neurologicablog/wp-content/uploads/sites/3/2015/12/bullshit-1.jpg,,False
876778449,Find the Right Words to Inspire Your Team,,"It’s important to understand that when you, as a leader, communicate with your team, using weaker words weakens your message and blunts your ability to inspire people. It’s not enough to just throw thoughts out there and hope for the best. You need to actively recommend ideas and assert their worthiness in all of your communications. For example, consider these “power words”: “I’m proposing (not “sharing”) an idea that will make our process more efficient.” “I’m suggesting (not “sharing”) a new logo that better conveys our brand message.” “I’m recommending (not “sharing”) a campaign to make our workplace more diverse.” Ultimately, audiences respond more actively to big points than to small words, but thoughtful leaders need to assess both, knowing that the more powerfully they come across — even in small ways — the greater impact they have on the people they hope to inspire.",https://hbr.org/2021/04/find-the-right-words-to-inspire-your-team,my_library,"behaviors, influence-persuasion, leadership, motivation, speaking",2021-04-18T22:50:02.000Z,https://hbr.org/resources/images/article_assets/2021/04/Apr21_13_HBRquotations.jpg,,False
876778359,A Simple Tip for Staying Assertive in Emotional Conversations,,Assertive communication is about compromise.,https://getpocket.com/explore/item/a-simple-tip-for-staying-assertive-in-emotional-conversations,my_library,"behaviors, influence-persuasion, speaking",2021-04-02T00:40:58.000Z,https://pocket-image-cache.com/1200x/filters:format(jpg):extract_focal()/https%3A%2F%2Fcms.qz.com%2Fwp-content%2Fuploads%2F2020%2F11%2Ftigersfighting.jpg%3Fquality%3D75%26strip%3Dall%26w%3D2200%26h%3D1236,,False
876778202,Public Speaking Nightmare: How to Shut Down Bullies and Hecklers,,Five tactics to silence the person trying to make you squirm.,https://www.entrepreneur.com/article/366691,my_library,"behaviors, ridicule, speaking",2021-03-11T23:01:45.000Z,https://assets.entrepreneur.com/content/3x2/2000/1615323736-GettyImages-1131357811.jpg?format=pjeg&auto=webp,,False
876777251,Talking out loud to yourself is a technology for thinking | Psyche Ideas,,Talking out loud to oneself is a technology for thinking that allows us to clarify and sharpen our approach to a problem,https://psyche.co/ideas/talking-out-loud-to-yourself-is-a-technology-for-thinking,my_library,"behaviors, ideas, language-linguistics, speaking",2020-12-29T02:29:21.000Z,https://images.aeonmedia.co/images/a197418d-665b-412a-85cc-a9b6e9392f08/original.jpg,,False
876776486,"How to Talk to an Audience of 40,000 People",,"When I signed up for a life of conducting orchestras, I didn’t realize I’d also need to learn how to handle enormous audiences",https://medium.com/better-humans/how-to-talk-to-an-audience-of-40-000-people-b9ff6e39f52b?source=rss----7038e003d060---4,my_library,"behaviors, speaking",2020-12-18T01:26:10.000Z,https://miro.medium.com/v2/resize:fit:1200/1*X_HkKIfw0jbHRo2Ig2QHdA.jpeg,,False
876772029,"To Persuade Someone, Look Emotional",,Look like you‘re trusting your gut and others will trust you.,https://getpocket.com/explore/item/to-persuade-someone-look-emotional,my_library,"behaviors, emotions, instinct-intuition, speaking",2019-09-16T15:24:42.000Z,https://pocket-image-cache.com/1200x/filters:format(jpg):extract_focal()/http%3A%2F%2Fstatic.nautil.us%2F14797_53885282fbff8407b3b6e820b7830180.jpg,,False
