id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876795420,Exploring 5 Docker Alternatives: Containerization Choices for 2024,,"In the realm of containerization, Docker has long been hailed as the go-to platform for developers....",https://dev.to/adarshbp/exploring-5-docker-alternatives-containerization-choices-for-2024-1cfh,my_library,"containers, docker",2024-03-20T02:40:14.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fvdppvi5mwqtsy8z2t6uj.png",,False
876793783,Download The Ultimate Docker Cheat Sheet,,"Get your Docker Cheat Sheet as PDF or PNG. In this article, you learn how to write Dockerfiles, build images, and run them as container.",https://devopscycle.com/blog/the-ultimate-docker-cheat-sheet,my_library,"containers, devops, docker",2024-01-16T08:24:47.000Z,https://devopscycle.com/wp-content/uploads/sites/4/2023/11/Social-Share-Image-Docker-Cheat-Sheet-1.webp,,False
876789599,https://squeaky.ai/blog/development/how-switching-to-aws-graviton-slashed-our-infrastructure-bill-by-35-percent,,,https://squeaky.ai/blog/development/how-switching-to-aws-graviton-slashed-our-infrastructure-bill-by-35-percent,my_library,"aws, containers, cpus, devops, docker, kubernetes",2022-12-01T12:38:58.000Z,,,False
876785159,Beginner’s Guide to Kubernetes and Docker,,,https://towardsdatascience.com/beginners-guide-to-kubernetes-and-docker-c07655e43ebb?source=rss----7f60cf5620c9---4,my_library,"containers, devops, docker, kubernetes",2022-06-29T00:44:51.000Z,,,False
876780871,Swarm mode,,Docker Engine Swarm mode overview,https://docs.docker.com/engine/swarm,my_library,"containers, docker",2021-12-12T19:45:50.000Z,https://docs.docker.com/images/thumbnail.webp,,False
876780861,Docker: Accelerated Container Application Development,,"Docker is a platform designed to help developers build, share, and run container applications. We handle the tedious setup, so you can focus on the code.",https://www.docker.com,my_library,"containers, docker",2021-12-12T19:44:37.000Z,https://www.docker.com/wp-content/uploads/2023/06/meta-image-homepage-1110x580.png,,False
876780845,"How to Use Docker Images, Containers, and Dockerfiles",,With an Infographic and Cheatsheet,https://medium.com/swlh/how-to-use-docker-images-containers-and-dockerfiles-39e4e8fc181a,my_library,"containers, docker",2021-12-12T19:42:49.000Z,https://miro.medium.com/v2/resize:fit:1200/1*WS7hapMkSb9NWsIf2tg22Q.png,,False
876780793,"Demystifying containers, Docker, and Kubernetes - Microsoft Open Source Blog",,Modern application infrastructure is being transformed by containers. The question is: How do you get started?,https://cloudblogs.microsoft.com/opensource/2019/07/15/how-to-get-started-containers-docker-kubernetes,my_library,"containers, devops, docker, kubernetes",2021-12-11T01:39:57.000Z,https://opensource.microsoft.com/blog/wp-content/uploads/2024/06/CLO20b_Jayesh_office_001.png,,False
876780055,Learning Containers From The Bottom Up,,What is a Container? Container vs. VM? Docker vs. Kubernetes. How to organize the learning efficiently?,https://iximiuz.com/en/posts/container-learning-path,my_library,"containers, devops, docker, kubernetes, linux, programming",2021-11-15T01:58:51.000Z,https://iximiuz.com/container-learning-path/docker-containerd-runc-2000-opt.png,,False
876777577,Buildpacks vs Dockerfiles,,Read more on the Doximity Technology Blog about how our engineers and data scientists are building the largest online network for clinicians.,https://technology.doximity.com/articles/buildpacks-vs-dockerfiles,my_library,"containers, devops, docker, heroku",2021-02-10T03:26:26.000Z,"https://res.cloudinary.com/dhttas9u5/image/upload/c_fill,dpr_2,fl_progressive,h_800,q_auto,w_1600/duk0vhe6b2vyxj7f7wzj.jpg",,False
876776430,"Wait, Docker is deprecated in Kubernetes now? What do I do?",,This article explains why Docker is now deprecated in Kubernetes.,https://t.co/rhMbPeiGlh?ssr=true,my_library,"containers, devops, docker, kubernetes",2020-12-10T02:41:40.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fi%2Fmwclzdxtfgighjrwdpfa.jpeg",,False
876776392,Transitioning from Docker to Podman,,"Podman is an excellent alternative to Docker containers when you need increased security, unique identifier (UID) separation using namespaces, and integration with systemd. In this article, I use",https://developers.redhat.com/blog/2020/11/19/transitioning-from-docker-to-podman,my_library,"containers, docker",2020-11-30T00:18:43.000Z,https://developers.redhat.com/sites/default/files/styles/share/public/blog/2020/11/intro_podman_2x.png?itok=KMgGWJaD,,False
876776187,docker | minikube,,"Overview The Docker driver allows you to install Kubernetes into an existing Docker install. On Linux, this does not require virtualization to be enabled. Requirements Install Docker 18.09 or higher (20.10 or higher is recommended) amd64 or arm64 system. If using WSL complete these steps first Usage Start a cluster using the docker driver: minikube start --driver=docker To make docker the default driver: minikube config set driver docker Requirements Docker 20.10 or higher, see https://rootlesscontaine.rs/getting-started/docker/ Cgroup v2 delegation, see https://rootlesscontaine.rs/getting-started/common/cgroup2/ Kernel 5.11 or later (5.13 or later is recommended when SELinux is enabled), see https://rootlesscontaine.rs/how-it-works/overlayfs/ Usage Start a cluster using the rootless docker driver:",https://minikube.sigs.k8s.io/docs/drivers/docker,my_library,"containers, devops, docker, kubernetes",2020-11-03T01:33:15.000Z,,,False
876775942,"How to Use Docker Images, Containers, and Dockerfiles",,With an Infographic and Cheatsheet,https://medium.com/@mostlyfocusedmike/how-to-use-docker-images-containers-and-dockerfiles-39e4e8fc181a,my_library,"containers, devops, docker",2020-10-27T14:23:41.000Z,https://miro.medium.com/v2/resize:fit:1200/1*WS7hapMkSb9NWsIf2tg22Q.png,,False
