id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876789599,https://squeaky.ai/blog/development/how-switching-to-aws-graviton-slashed-our-infrastructure-bill-by-35-percent,,,https://squeaky.ai/blog/development/how-switching-to-aws-graviton-slashed-our-infrastructure-bill-by-35-percent,my_library,"aws, containers, cpus, devops, docker, kubernetes",2022-12-01T12:38:58.000Z,,,False
876786435,A Beginner-Friendly Introduction to Kubernetes,,With a hands-on MLFlow deployment example,https://towardsdatascience.com/a-beginner-friendly-introduction-to-kubernetes-540b5d63b3d7?source=rss----7f60cf5620c9---4,my_library,"containers, devops, kubernetes, programming",2022-07-12T00:25:19.000Z,https://miro.medium.com/v2/resize:fit:1200/1*h26nFoT4C8J_jt8ZyUReFA.png,,False
876785159,Beginner’s Guide to Kubernetes and Docker,,,https://towardsdatascience.com/beginners-guide-to-kubernetes-and-docker-c07655e43ebb?source=rss----7f60cf5620c9---4,my_library,"containers, devops, docker, kubernetes",2022-06-29T00:44:51.000Z,,,False
876780793,"Demystifying containers, Docker, and Kubernetes - Microsoft Open Source Blog",,Modern application infrastructure is being transformed by containers. The question is: How do you get started?,https://cloudblogs.microsoft.com/opensource/2019/07/15/how-to-get-started-containers-docker-kubernetes,my_library,"containers, devops, docker, kubernetes",2021-12-11T01:39:57.000Z,https://opensource.microsoft.com/blog/wp-content/uploads/2024/06/CLO20b_Jayesh_office_001.png,,False
876780225,Do I Really Need Kubernetes?,,"Kubernetes is powerful, but that does not mean it’s the right choice for every team and every app. It is made to solve a certain set of problems.",https://thenewstack.io/do-i-really-need-kubernetes,my_library,"containers, devops, kubernetes",2021-12-02T01:46:25.000Z,https://cdn.thenewstack.io/media/2020/10/eed3b5b4-animal-1850235_1280.jpg,,False
876780219,Install Tools,,Set up Kubernetes tools on your computer.,https://kubernetes.io/docs/setup/learning-environment/minikube,my_library,"containers, devops, kubernetes",2021-12-02T01:45:41.000Z,https://kubernetes.io/images/kubernetes-horizontal-color.png,,False
876780055,Learning Containers From The Bottom Up,,What is a Container? Container vs. VM? Docker vs. Kubernetes. How to organize the learning efficiently?,https://iximiuz.com/en/posts/container-learning-path,my_library,"containers, devops, docker, kubernetes, linux, programming",2021-11-15T01:58:51.000Z,https://iximiuz.com/container-learning-path/docker-containerd-runc-2000-opt.png,,False
876776430,"Wait, Docker is deprecated in Kubernetes now? What do I do?",,This article explains why Docker is now deprecated in Kubernetes.,https://t.co/rhMbPeiGlh?ssr=true,my_library,"containers, devops, docker, kubernetes",2020-12-10T02:41:40.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fi%2Fmwclzdxtfgighjrwdpfa.jpeg",,False
876776187,docker | minikube,,"Overview The Docker driver allows you to install Kubernetes into an existing Docker install. On Linux, this does not require virtualization to be enabled. Requirements Install Docker 18.09 or higher (20.10 or higher is recommended) amd64 or arm64 system. If using WSL complete these steps first Usage Start a cluster using the docker driver: minikube start --driver=docker To make docker the default driver: minikube config set driver docker Requirements Docker 20.10 or higher, see https://rootlesscontaine.rs/getting-started/docker/ Cgroup v2 delegation, see https://rootlesscontaine.rs/getting-started/common/cgroup2/ Kernel 5.11 or later (5.13 or later is recommended when SELinux is enabled), see https://rootlesscontaine.rs/how-it-works/overlayfs/ Usage Start a cluster using the rootless docker driver:",https://minikube.sigs.k8s.io/docs/drivers/docker,my_library,"containers, devops, docker, kubernetes",2020-11-03T01:33:15.000Z,,,False
876775943,Getting started with Kubernetes: how to set up your first cluster | CircleC,,"Learn how to set up a real-world, production-ready Kubernetes cluster using  Amazon Elastic Kubernetes Service (Amazon EKS) and Terraform.",https://circleci.com/blog/getting-started-with-kubernetes-how-to-set-up-your-first-cluster,my_library,"containers, devops, kubernetes",2020-10-27T14:31:37.000Z,https://images.ctfassets.net/il1yandlcjgk/yreoQeXQhUjDj9JhApNfp/b87c367b03e3fec297747e442427a78c/Tutorial-Beginner-RP.jpg,,False
876775936,An Introduction To Kubernetes,,Have you ever wondered how companies like Facebook are able to serve applications to Billions of...,https://dev.to/gbengelebs/an-introduction-to-kubernetes-5h05,my_library,"containers, devops, kubernetes",2020-10-21T22:10:14.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fi%2Ffmw7bftvzclr06w0gn4p.png",,False
876775914,Canonical Introduces High-Availability Micro-Kubernetes,,,https://tech.slashdot.org/story/20/10/15/2111233/canonical-introduces-high-availability-micro-kubernetes,my_library,"containers, devops, kubernetes",2020-10-16T18:14:08.000Z,,,False
