id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876792879,"Tansforms, Transitions and Animations : Elevating User Experiences with CSS",,"In the ever-evolving landscape of web development, creating captivating user experiences is a...",https://dev.to/mohiyaddeen7/tansforms-transitions-and-animations-elevating-user-experiences-with-css-transitions-and-animations-364j,my_library,"animation, css, webdev",2023-08-06T19:57:34.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2F1i7nf3hnd9snmakn2ikt.png",,False
876792861,A Beginner's Guide: Understanding CSS Animation,,"Introduction   Cascading Style Sheet (CSS) is a style sheet language that's used to design,...",https://dev.to/meganad60/a-beginners-guide-understanding-css-animation-29l2,my_library,"animation, css, webdev",2023-08-05T10:49:48.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2F77fnz5sy2pspcu0rx7ed.jpg",,False
876792849,Best CSS Animation on internet,,1. Animated Background with SVG in CSS   Output     Source Code                   2. CSS...,https://dev.to/democode7451/best-css-animation-on-internet-1hd8,my_library,"animation, css, webdev",2023-08-03T12:11:12.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fypmh5m8ici0z7akd8etb.jpg",,False
876792767,How to Create a Beautiful Particle Animation with HTML Canvas,,"Live Demo / Download   --  In this tutorial, we will utilize the power of HTML canvas to...",https://dev.to/cruip_com/how-to-create-a-beautiful-particle-animation-with-html-canvas-n22,my_library,"animation, css, html",2023-07-24T00:35:57.000Z,"https://media2.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fjke3pjch7h8ztosyivha.png",,False
876790767,Top 10 CSS Animation Libraries,,"For the longest time, developers were limited to Flash players and gifs when they wanted to display...",https://dev.to/coderpad/top-10-css-animation-libraries-656,my_library,"animation, css, webdev",2023-02-23T00:54:52.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fdyrff30x91kz6c9ikfap.png",,False
876788823,A Guide to CSS Animation — Part 1 | by Jhey Tompkins | codeburst,,Let’s get things moving! 🎞,https://codeburst.io/a-guide-to-css-animation-part-1-8777f5beb1f8,my_library,"animation, css",2022-10-28T20:14:56.000Z,https://miro.medium.com/v2/da:true/resize:fit:480/1*YMIFMQyYdSkmGAus_VZiPw.gif,,False
876781908,This Ain’t Disney: A practical guide to CSS transitions and animations,,"Oh, animation… we want to get it right so badly, don’t we? I mean, does anybody really enjoys a stiff, snappy UI? Can anyone admit they’re…",https://blog.prototypr.io/this-aint-disney-a-practical-guide-to-css-transitions-and-animations-a8b87e7c5531,my_library,"animation, css",2022-01-12T23:30:36.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/1*aMOZ578-yNodBhdisfYGWQ.gif,,False
876781876,15 awesome CSS animation libraries you need to know.,,Transitions from one CSS style configuration to another can be animated using CSS animations. A style...,https://dev.to/visualway/15-awesome-css-animation-libraries-you-need-to-know-13db,my_library,"animation, css, webdev",2022-01-11T13:31:15.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fabhirajb.hashnode.dev%2F_next%2Fimage%3Furl%3Dhttps%253A%252F%252Fcdn.hashnode.com%252Fres%252Fhashnode%252Fimage%252Fupload%252Fv1639383518099%252FBACUfGiihi.png%253Fw%253D1600%2526h%253D840%2526fit%253Dcrop%2526crop%253Dentropy%2526auto%253Dcompress%252Cformat%2526format%253Dwebp%26w%3D1920%26q%3D75",,False
876779068,30 ? Awesome CSS Animation Resources,,Here is the list of awesome CSS animation resources that will help you to animate components quickly...,https://dev.to/kiranrajvjd/30-awesome-css-animation-resources-h9c,my_library,"animation, css, webdev",2021-05-24T23:09:48.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fqvr35igwwbylvg0b0vgu.jpg",,False
876778121,"CSS transitions and hover animations, an interactive guide",,This comprehensive guide shows how to use CSS transitions! A back-to-basics look at the fundamental building blocks we need to create microinteractions and other animations.,https://www.joshwcomeau.com/animation/css-transitions,my_library,"animation, css",2021-02-26T20:21:08.000Z,https://www.joshwcomeau.com/images/og-css-transitions.png,,False
