id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876795487,The Great Migration from MongoDB to PostgreSQL,,How Infisical migrated from MongoDB to PostgreSQL.,https://infisical.com/blog/postgresql-migration-technical,my_library,"databases, mongodb, postgres",2024-03-31T02:13:59.000Z,https://infisical.com/static/images/postgresql-migration-technical.png,,False
876791997,"The Internals of PostgreSQL: Database Cluster, Databases, and Tables",,"PostgreSQL, a widely adopted open-source relational database management system (RDBMS), offers robust...",https://dev.to/sadeeddahmad/the-internals-of-postgresql-database-cluster-databases-and-tables-n2d,my_library,"databases, postgres",2023-05-31T11:00:29.000Z,https://dev-to-uploads.s3.amazonaws.com/uploads/articles/3otvb2z646ytpt1hl2rv.jpg,,False
876790912,Mastering PostgreSQL Views and CTEs for Rails Developers: A Comprehensive G,,Introduction   Views and Common Table Expression or CTE are two important concept in...,https://dev.to/yet_anotherdev/mastering-postgresql-views-and-ctes-for-rails-developers-a-comprehensive-guide-3fl4,my_library,"databases, postgres, rubyonrails",2023-03-15T12:11:25.000Z,https://dev-to-uploads.s3.amazonaws.com/uploads/articles/3otvb2z646ytpt1hl2rv.jpg,,False
876787812,Advanced Database Programming with Rails and Postgres,,"Learn about Active Record and subqueries, views and materialized views, and domain types and composite types in Postgres and Ruby on Rails.",https://rubyweekly.com/link/127468/ad5e785e3b,my_library,"databases, postgres, rubyonrails",2022-08-19T18:55:01.000Z,https://pganalyze.com/og/ebook-advanced-database-programming-rails-postgres.jpg,,False
876786450,PostgreSQL 14 Internals,,Postgres Professional is a PostgreSQL company delivering Postgres Pro DBMS and all kinds of PostgreSQL professional services worldwide,https://postgrespro.com/community/books/internals,my_library,"books, databases, postgres",2022-07-14T11:17:03.000Z,https://postgrespro.com/img/logo2.png,,False
876784859,Postgres Vs MySQL syntax comparison with cheatsheet,,When migrating from PostgreSQL to MySQL we often get stuck with syntax between databases. Here are...,https://dev.to/tipseason/postgres-vs-mysql-syntax-comparison-with-cheatsheet-41n5,my_library,"databases, mysql, postgres",2022-06-22T16:40:53.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fl7vr3b8a0h58yza7hv7d.png",,False
876784015,Apt - PostgreSQL wiki,,,https://wiki.postgresql.org/wiki/Apt,my_library,"command-line, databases, jupyter, kernels, postgres, ubuntu, _r_",2022-05-29T21:19:24.000Z,,,False
876780902,PostgreSQL Exercises,,,https://pgexercises.com,my_library,"databases, postgres",2021-12-13T23:51:05.000Z,,,False
876780009,10 Essential Psql Commands For Data Engineers,,Learn how to interact with PostgreSQL databases through the command line using PSQL.,https://towardsdatascience.com/10-essential-psql-commands-for-data-engineers-c1ea42279160,my_library,"databases, postgres",2021-10-27T23:28:03.000Z,https://miro.medium.com/v2/resize:fit:1200/1*5wJ459bq74jEuccOgNLlRQ.jpeg,,False
876778391,PostGIS – Spatial and Geographic Objects for PostgreSQL,,,https://postgis.net,my_library,"databases, geography, geometry, postgres",2021-04-05T11:22:18.000Z,,,False
876778126,Why Uber Engineering Switched from Postgres to MySQL,,,https://eng.uber.com/postgres-to-mysql-migration,my_library,"databases, mysql, postgres",2021-02-27T23:19:59.000Z,,,False
876774644,How GIN Indices Can Make Your Postgres Queries 15x Faster,,With query examples you can run on your laptop,https://towardsdatascience.com/how-gin-indices-can-make-your-postgres-queries-15x-faster-af7a195a3fc5?source=rss----7f60cf5620c9---4,my_library,"databases, postgres",2020-04-01T11:20:16.000Z,https://miro.medium.com/v2/resize:fit:1200/1*UEAzlUSboRMuQBW486o0Xw.png,,False
