id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876795361,"S3 is files, but not a filesystem",,"""Deep"" modules, mismatched interfaces - and why SAP is so painful",https://calpaterson.com/s3.html,my_library,"aws, databases, sqlite",2024-03-10T13:06:19.000Z,https://calpaterson.com/images/photo/cal-misc.jpeg,,False
876788776,10 Essential SQL Commands for Data Science,,"Learn SQL commands for filtering, string operations, alias, joining tables, if-else statements, and grouping.",https://www.kdnuggets.com/2022/10/10-essential-sql-commands-data-science.html,my_library,"databases, sql",2022-10-20T17:36:32.000Z,https://www.kdnuggets.com/wp-content/uploads/awan_10_essential_sql_commands_data_science_1.png,,False
876788775,"Quirks, Caveats, and Gotchas In SQLite",,,https://www.sqlite.org/quirks.html,my_library,"databases, sqlite",2022-10-20T17:32:37.000Z,,,False
876787667,SQLite Internals: Pages & B-trees,,Let's open a hex editor and see what this thing is made of,https://fly.io/blog/sqlite-internals-btree,my_library,"databases, sqlite",2022-07-30T11:39:07.000Z,https://fly.io/blog/sqlite-internals-btree/assets/sqlite-cover.webp,,False
876784859,Postgres Vs MySQL syntax comparison with cheatsheet,,When migrating from PostgreSQL to MySQL we often get stuck with syntax between databases. Here are...,https://dev.to/tipseason/postgres-vs-mysql-syntax-comparison-with-cheatsheet-41n5,my_library,"databases, mysql, postgres",2022-06-22T16:40:53.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fl7vr3b8a0h58yza7hv7d.png",,False
876783845,Wesley Aptekar-Cassels | Consider SQLite,,,https://blog.wesleyac.com/posts/consider-sqlite,my_library,"databases, sql, sqlite",2022-04-29T19:50:28.000Z,,,False
876780100,SQL Basics Cheat Sheet,,This 2-page SQL Basics Cheat Sheet will be a great value for beginners as well as for professionals. Download it in PDF or PNG format.,https://learnsql.com/blog/sql-basics-cheat-sheet,my_library,"databases, sql",2021-11-26T14:34:19.000Z,https://learnsql.com/blog/sql-basics-cheat-sheet/sql-basics-cheat-sheet-cover.png,,False
876779280,Advanced SQL operations,,Reviewing more advanced SQL operations to extract additional data insights from the Irish Weather dataset.,https://towardsdatascience.com/advanced-sql-operations-8856084a95a8,my_library,"databases, sql",2021-06-26T18:18:34.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*TkzbjuAJnA3WKZxL,,False
876779204,Ask HN: What is the SQLite of nosql databases?,,,https://news.ycombinator.com/item?id=27490361,my_library,"databases, nosql, sql, sqlite",2021-06-13T15:02:16.000Z,,,False
876778992,Tricks for Advanced SQL Querying,,One of the most valuable technical skills I use working on a data science team in the retail space is SQL…,https://towardsdatascience.com/tricks-for-advanced-sql-querying-a09766552155,my_library,"databases, sql, sqlite",2021-05-12T23:35:29.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*XXaFrkRXSg85eLIP,,False
