id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
881001377,Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,,Compendium of free ML reading resources.,https://github.com/Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,my_library,"machine-learning, deep-learning, books, algorithms-math, github",2021-09-24T00:00:00.000Z,https://opengraph.githubassets.com/45f1f4dfb2cc2652c0a1f9376fc10dda71150a108f61d3d42f8705578824e25b/Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,,False
876792790,Calculate Computational Efficiency of Deep Learning Models with FLOPs and M,,"In this article we will learn about its definition, differences and how to calculate FLOPs and MACs using Python packages.",https://www.kdnuggets.com/2023/06/calculate-computational-efficiency-deep-learning-models-flops-macs.html,my_library,"algorithms-math, benchmarks, cpus, deep-learning, gpus",2023-07-24T01:05:27.000Z,https://www.kdnuggets.com/wp-content/uploads/li_calculate_computational_efficiency_deep_learning_models_flops_macs_2.png,,False
876789881,Deep Learning Pioneer Geoffrey Hinton Publishes New Deep Learning Algorithm,,"Geoffrey Hinton, professor at the University of Toronto and engineering fellow at Google Brain, recently published a paper on the Forward-Forward algorithm (FF), a technique for training neural networks that uses two forward passes of data through the network, instead of backpropagation, to update the model weights.",https://www.infoq.com/news/2023/01/hinton-forward-algorithm,my_library,"algorithms-math, deep-learning",2023-01-12T21:25:42.000Z,https://res.infoq.com/news/2023/01/hinton-forward-algorithm/en/headerimage/generatedHeaderImage-1671889757056.jpg,,False
876782707,Machine Learning Algorithms Cheat Sheet — Accel.AI,,"Machine learning is a subfield of artificial intelligence (AI) and computer science that focuses on using data and algorithms to mimic the way people learn, progressively improving its accuracy. This way, Machine Learning is one of the most interesting methods in Computer Science these days, and it'",https://www.accel.ai/anthology/2022/1/24/machine-learning-algorithms-cheat-sheet,my_library,"algorithms-math, deep-learning, machine-learning",2022-02-20T14:23:09.000Z,http://static1.squarespace.com/static/58dc1a1ee4fcb51cbb80a096/t/66b165fe2926b21d072cf900/1722901809767/ML-CheatSheet-en.png?format=1500w,,False
876779848,10 Computer Vision Terms Everyone Must Know About!,,The ten essential computer vision terminologies that everyone should learn to become more proficient at computer vision with sample codes,https://towardsdatascience.com/10-computer-vision-terms-everyone-must-know-about-687a98845fc8?source=rss----7f60cf5620c9---4,my_library,"algorithms-math, deep-learning, machine-vision",2021-08-22T21:16:30.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*LFhMuFB1_hyYnoE2,,False
876779258,A Guide to Genetic ‘Learning’ Algorithms for Optimization,,Reconstructing Images using Reinforcement Learning and Genetic Algorithms,https://link.medium.com/DLlcQFcOjhb,my_library,"algorithms-math, deep-learning, image-generation",2021-06-23T13:14:24.000Z,https://miro.medium.com/v2/resize:fit:1200/1*VLCGlJWrtVceZ9NqVqWTxQ.jpeg,,False
876774933,Understanding Associative Embedding,,An elegant method to group predictions without labeling,https://towardsdatascience.com/understanding-associative-embedding-1b22677751f3?source=rss----7f60cf5620c9---4,my_library,"algorithms-math, deep-learning, machine-learning, vision",2020-05-19T21:01:23.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*ruxbWPSbcz4vMsMs,,False
876774633,Matrix Factorization as a Recommender System,,An Explanation and Implementation of Matrix Factorization,https://towardsdatascience.com/matrix-factorization-as-a-recommender-system-727ee64683f0?source=rss----7f60cf5620c9---4,my_library,"algorithms-math, deep-learning, machine-learning",2020-04-01T11:15:19.000Z,https://miro.medium.com/v2/resize:fit:1024/0*jibyT2jB0ExPfgx3.png,,False
876773995,Hyper-Parameter Optimization: A Review of Algorithms and Applications,,"Since deep neural networks were developed, they have made huge contributions to everyday lives. Machine learning provides more rational advice than humans are capable of in almost every aspect of...",https://arxiv.org/abs/2003.05689,my_library,"algorithms-math, deep-learning, machine-learning",2020-03-16T16:54:05.000Z,https://arxiv.org/static/browse/0.3.4/images/arxiv-logo-fb.png,,False
876769892,vdumoulin/conv_arithmetic: A technical report on convolution arithmetic in the context of deep learning,,A technical report on convolution arithmetic in the context of deep learning - vdumoulin/conv_arithmetic,https://github.com/vdumoulin/conv_arithmetic,my_library,"algorithms-math, deep-learning",2018-11-06T14:43:18.000Z,https://opengraph.githubassets.com/8d082dfbca0d544573f5e558ffc818800b64476c24ee359838c6274a78913ef5/vdumoulin/conv_arithmetic,,False
