id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
877823124,10 GitHub Repositories for Advanced Machine Learning Projects,,Where can you find projects dealing with advanced ML topics? GitHub is a perfect source with its many repositories. I’ve selected ten to talk about in this article.,https://www.kdnuggets.com/10-github-repositories-for-advanced-machine-learning-projects,my_library,"machine-learning, deep-learning, github",2024-10-16T14:22:57.734Z,https://www.kdnuggets.com/wp-content/uploads/Rosidi_Github_Repositories_for_ML_3.png,,False
881001706,AI & ML Projects with Python,,"In this article, I'll take you through a list of guided projects to master AI & ML with Python. AI & ML Projects with Python.",https://thecleverprogrammer.com/2024/10/11/ai-ml-projects-with-python,my_library,"python, machine-learning, deep-learning",2011-10-24T00:00:00.000Z,https://thecleverprogrammer.com/wp-content/uploads/2024/10/40-Projects-to-Master-AI-ML-with-Python.png,,False
881001377,Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,,Compendium of free ML reading resources.,https://github.com/Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,my_library,"machine-learning, deep-learning, books, algorithms-math, github",2021-09-24T00:00:00.000Z,https://opengraph.githubassets.com/45f1f4dfb2cc2652c0a1f9376fc10dda71150a108f61d3d42f8705578824e25b/Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,,False
876790900,?Top ML Papers of the Week - by elvis - NLP Newsletter,,The top ML Papers of the Week (Mar 6 - Mar 12),https://nlpnews.substack.com/p/top-ml-papers-of-the-week-8f6?isFreemail=true&post_id=107962254&publication_id=103238,my_library,"arxiv, deep-learning, machine-learning",2023-03-14T20:05:13.000Z,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fpbs.substack.com%2Fmedia%2FFqvskpvXsAEIy5u.jpg",,False
876789713,ChatGPT and the Imagenet moment — Benedict Evans,,"The wave of enthusiasm around generative networks feels like another Imagenet moment - a step change in what ‘AI’ can do that could generalise far beyond the cool demos. What can it create, and where are the humans in the loop?",https://www.ben-evans.com/benedictevans/2022/12/14/ChatGPT-imagenet,my_library,"chatgpt, deep-learning, generative, ideas, machine-learning, nlp",2022-12-16T01:53:18.000Z,http://static1.squarespace.com/static/50363cf324ac8e905e7df861/t/639997a380800648445acf3f/1718919976911/B4AAC213-3764-4A49-A1F1-CA18B3368CF0.jpeg?format=1500w,,False
876788733,IVFPQ HNSW for Billion-scale Similarity Search | by Peggy Chang | Towards,,The best indexing approach for billion-sized vector datasets,https://towardsdatascience.com/ivfpq-hnsw-for-billion-scale-similarity-search-89ff2f89d90e?source=rss----7f60cf5620c9---4,my_library,"deep-learning, machine-learning, search",2022-10-14T19:01:49.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*5cS2Mbgb8mylgGEH,,False
876788727,NSVQ: Improved Vector Quantization technique for Neural Networks Training,,"Efficient vector quantization for machine learning optimizations (eps. vector quantized variational autoencoders), better than straight…",https://towardsdatascience.com/improving-vector-quantization-in-vector-quantized-variational-autoencoders-vq-vae-915f5814b5ce,my_library,"autoencoders, compression-encoding, deep-learning, machine-learning, search",2022-10-13T14:08:29.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*mQbE21i6fsfqpU3L,,False
876788461,Demystifying Object Detection and Instance Segmentation for Data Scientists - MLWhiz,,this post is explaining how permutation importance works and how we can code it using ELI5,https://mlwhiz.com/blog/2019/12/05/od,my_library,"deep-learning, machine-learning, object-detection",2022-09-05T22:15:23.000Z,https://mlwhiz.com/images/od/main.jpeg,,False
876786416,Topological Data Analysis for Machine Learning,,,https://substack.com/redirect/6f628369-5291-4b55-b14e-40815d5b112a?u=1135489,my_library,"deep-learning, machine-learning, topology",2022-07-10T15:14:14.000Z,,,False
876782866,AI Virtual Assistant Technology Guide 2022,,"They can help you get an appointment or order a pizza, find the best ticket deals and bring your...",https://dev.to/evgeniykrasnokutsky/ai-virtual-assistant-technology-guide-2022-3n3i,my_library,"chatbots, deep-learning, machine-learning, nlp",2022-03-21T19:37:37.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2F8auc5yhbd3ofsn3mlm9a.jpg",,False
876782707,Machine Learning Algorithms Cheat Sheet — Accel.AI,,"Machine learning is a subfield of artificial intelligence (AI) and computer science that focuses on using data and algorithms to mimic the way people learn, progressively improving its accuracy. This way, Machine Learning is one of the most interesting methods in Computer Science these days, and it'",https://www.accel.ai/anthology/2022/1/24/machine-learning-algorithms-cheat-sheet,my_library,"algorithms-math, deep-learning, machine-learning",2022-02-20T14:23:09.000Z,http://static1.squarespace.com/static/58dc1a1ee4fcb51cbb80a096/t/66b165fe2926b21d072cf900/1722901809767/ML-CheatSheet-en.png?format=1500w,,False
