id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876789590,YOLOv7: A deep dive into the current state-of-the-art for object detection,,Everything you need to know to use YOLOv7 in custom training scripts,https://towardsdatascience.com/yolov7-a-deep-dive-into-the-current-state-of-the-art-for-object-detection-ce3ffedeeaeb?source=rss----7f60cf5620c9---4,my_library,"deep-learning, machine-vision, object-detection",2022-11-28T20:26:16.000Z,https://miro.medium.com/v2/resize:fit:1200/1*wMUHb5UizMu6QSWRfw8SKw.png,,False
876788461,Demystifying Object Detection and Instance Segmentation for Data Scientists - MLWhiz,,this post is explaining how permutation importance works and how we can code it using ELI5,https://mlwhiz.com/blog/2019/12/05/od,my_library,"deep-learning, machine-learning, object-detection",2022-09-05T22:15:23.000Z,https://mlwhiz.com/images/od/main.jpeg,,False
876779852,Object Detection Algorithms and Libraries - neptune.ai,,"A guide on object detection algorithms and libraries that covers use cases, technical details, and offers a look into modern applications.",https://neptune.ai/blog/object-detection-algorithms-and-libraries,my_library,"deep-learning, machine-vision, object-detection",2021-08-24T09:21:15.000Z,https://neptune.ai/wp-content/uploads/2022/07/blog_feature_image_015601_7_0_1_8.jpg,,False
876779100,Introduction to Object Detection Model Evaluation,,Evaluating object detection models is not straightforward because each image can have many objects and each object can belong to different classes. This means that we need to measure if the model…,https://towardsdatascience.com/introduction-to-object-detection-model-evaluation-3a789220a9bf?source=rss----7f60cf5620c9---4,my_library,"deep-learning, machine-learning, object-detection",2021-05-29T00:46:17.000Z,https://miro.medium.com/v2/resize:fit:1200/1*wlIkpmotfZ0NGaCiEIObCw.jpeg,,False
876778144,How to Use Roboflow and Streamlit to Visualize Object Detection Output,,Building an app for blood cell count detection.,https://link.medium.com/MBOlUwEWaeb,my_library,"deep-learning, machine-vision, object-detection",2021-03-03T14:09:47.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*asY-S_5_Nf5x__Mc.gif,,False
876777301,Pocket - Anchor Boxes — The key to quality object detection,,"If you have ever had to tinker with anchor boxes, you were probably frustrated, confused and saying to yourself, “There must be another…",https://medium.com/@andersasac/the-end-of-anchors-improving-object-detection-models-and-annotations-73828c7b39f6,my_library,"deep-learning, object-detection",2021-01-02T22:02:14.000Z,https://miro.medium.com/v2/resize:fit:1200/1*lSA4IYkqrIgpM1SyuQE4Dg.png,,False
876777300,Anchor Boxes — The key to quality object detection,,A recent article came out comparing public cloud providers’ face detection APIs. I was very surprised to see all of the detectors fail to…,https://towardsdatascience.com/anchor-boxes-the-key-to-quality-object-detection-ddf9d612d4f9?source=rss----7f60cf5620c9---4,my_library,"deep-learning, object-detection",2021-01-02T22:02:13.000Z,https://miro.medium.com/v2/resize:fit:600/1*SLKgjh8ikR0X4PeZlj3w0A.png,,False
876777120,Browse the State-of-the-Art in Machine Learning | Papers With Code,,"**Object Detection** is a computer vision task in which the goal is to detect and locate objects of interest in an image or video. The task involves identifying the position and boundaries of objects in an image, and classifying the objects into different categories. It forms a crucial part of vision recognition, alongside [image classification](/task/image-classification) and [retrieval](/task/image-retrieval).  The state-of-the-art methods can be categorized into two main types: one-stage methods and two stage-methods:   - One-stage methods prioritize inference speed, and example models include YOLO, SSD and RetinaNet.   - Two-stage methods prioritize detection accuracy, and example models include Faster R-CNN, Mask R-CNN and Cascade R-CNN.  The most popular benchmark is the MSCOCO dataset. Models are typically evaluated according to a Mean Average Precision metric.  ( Image credit: [Detectron](https://github.com/facebookresearch/detectron) )",https://paperswithcode.com/task/object-detection,my_library,"deep-learning, object-detection",2020-12-21T17:40:22.000Z,https://production-media.paperswithcode.com/tasks/task-0000000004-57dd87c7_D7W1Zlx_S0Efpji.jpeg,,False
876776544,https://lionbridge.ai/articles/everything-you-need-to-know-about-object-detection-systems/,,,https://lionbridge.ai/articles/everything-you-need-to-know-about-object-detection-systems,my_library,"deep-learning, object-detection, vision",2020-12-18T11:21:08.000Z,,,False
876776215,Yolo v5 Object Detection Tutorial,,How to set up and train a Yolo v5 Object Detection model?,https://towardsdatascience.com/yolo-v5-object-detection-tutorial-2e607b9013ef?source=rss----7f60cf5620c9---4,my_library,"deep-learning, object-detection, vision",2020-11-03T01:50:55.000Z,https://miro.medium.com/v2/resize:fit:876/1*idFzREuCIvlnizQWkwC-2g.jpeg,,False
