id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876786371,The ArtBench Dataset: Benchmarking Generative Models with Artworks,,"We introduce ArtBench-10, the first class-balanced, high-quality, cleanly annotated, and standardized dataset for benchmarking artwork generation. It comprises 60,000 images of artwork from 10...",https://substack.com/redirect/56cdaf86-f132-4f32-8661-d1c1bfd03ac9?u=1135489,my_library,"art, datasets, deep-learning, programming",2022-07-06T00:00:47.000Z,https://arxiv.org/static/browse/0.3.4/images/arxiv-logo-fb.png,,False
876780892,"Machine-Learning-Tokyo/Interactive_Tools: Interactive Tools for Machine Learning, Deep Learning and Math",,"Interactive Tools for Machine Learning, Deep Learning and Math - Machine-Learning-Tokyo/Interactive_Tools",https://github.com/Machine-Learning-Tokyo/Interactive_Tools,my_library,"deep-learning, machine-learning, programming, visualization",2021-12-13T23:45:46.000Z,https://opengraph.githubassets.com/59ab9d502645883aaa186d2bd4c4f006d453f739a36d8392d3d36cdf40858859/Machine-Learning-Tokyo/Interactive_Tools,,False
876779951,graviraja/MLOps-Basics,,,https://github.com/graviraja/MLOps-Basics,my_library,"deep-learning, devops, machine-learning, programming",2021-10-01T21:00:54.000Z,https://opengraph.githubassets.com/7414a2574e5b5fd512538074a8cf5787fabfb3a88efeaa25b714bce85448c1c2/graviraja/MLOps-Basics,,False
876779393,PyMOL | pymol.org,,,https://pymol.org/2,my_library,"biology, deep-learning, programming, python, visualization",2021-07-18T02:24:03.000Z,,,False
876779238,New Machine Learning Gems for Ruby,,"In August, I set out to improve the machine learning ecosystem for Ruby and wasn’t sure where it would go. Over the next 5 months, I ended up...",https://ankane.org/new-ml-gems,my_library,"deep-learning, machine-learning, programming, ruby",2021-06-20T18:50:13.000Z,https://ankane.org/images/ml-gems-2.png,,False
876778972,Projects,,Find out about all of the projects of Meta Open Source.,https://opensource.facebook.com/projects,my_library,"deep-learning, machine-learning, programming",2021-05-09T17:35:22.000Z,https://opensource.fb.com/img/social-share-update.png,,False
876778961,Top 5 Python libraries for Computer vision,,Computer vision is the field of computer science that focuses on replicating parts of the complexity...,https://dev.to/stokry/top-5-python-libraries-for-computer-vision-47ga,my_library,"deep-learning, machine-vision, programming, python",2021-05-07T15:30:01.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2F0qrkw79dpm95yxooymed.gif",,False
876774004,Using Snorkel For Multi-Label Annotation.,,How to use snorkel’s multi-class implementation to create multi-labels,https://towardsdatascience.com/using-snorkel-for-multi-label-annotation-cc2aa217986a?source=rss----7f60cf5620c9---4,my_library,"deep-learning, labeling, programming",2020-03-18T19:43:08.000Z,https://miro.medium.com/v2/resize:fit:400/0*ZtVCOooN2oZdFN8o.jpg,,False
876773895,fastai/README.md at master · fastai/fastai,,The fastai deep learning library.,https://github.com/fastai/fastai/blob/master/README.md,my_library,"deep-learning, programming",2020-03-09T20:16:47.000Z,https://repository-images.githubusercontent.com/102973646/f8fe2d00-ad10-11e9-87ea-0136ea4d6245,,False
876773648,Luminovo - Deep Learning Toolset.pdf - Google Drive,,,https://drive.google.com/file/d/1XhngKISDpQgwGlvU-hjXWZb_qfyIYjqN/view,my_library,"deep-learning, programming",2020-02-19T20:00:55.000Z,,,False
876772824,Workflow Tools for Model Pipelines,,Chapter 5 excerpt of “Data Science in Production”,https://towardsdatascience.com/workflow-tools-for-model-pipelines-45030a93e9e0,my_library,"deep-learning, machine-learning, programming",2019-12-14T20:33:46.000Z,https://miro.medium.com/v2/resize:fit:1200/1*BMf9Y9wV7U9sXVEo_9yigg.png,,False
