id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876797073,"ttt30ga/awesome-product-design: A collection of bookmarks, resources, artic",,"A collection of bookmarks, resources, articles for product designers. - ttt30ga/awesome-product-design",https://github.com/ttt30ga/awesome-product-design,my_library,"design, prodmgmt",2024-05-30T01:58:45.000Z,https://repository-images.githubusercontent.com/94201255/87243438-a503-4d40-ae01-54dcbcb345e2,,False
876788527,Design System Glossary – 34 Powerful Terms You Should Know,,"What is pattern library, UI kit, and brand voice? Learn all the terms that you need to build and use a long-lasting design system.",https://www.uxpin.com/studio/blog/design-system-glossary,my_library,"design-patterns, prodmgmt, ui-ux",2022-09-14T14:09:17.000Z,https://studio.uxpincdn.com/studio/wp-content/uploads/2022/09/Design-system-glossary.png.webp,,False
876786287,The Design Sprint — GV,,"The sprint is a 5-day process for answering critical business questions through design, prototyping, and testing with customers. Learn to run your own sprints, and read about our book on sprints.",http://www.gv.com/sprint,my_library,"design-patterns, execution, prodmgmt",2022-07-05T21:41:09.000Z,http://www.gv.com/sprint/img/preview.jpg,,False
876784901,How We Redesigned Our Product in Less Than a Week,,The 6-step process is an adapted version of the process Google Ventures taught us. It's applicable whether you’re a startup or a Fortune 500 company.,https://thenextweb.com/dd/2014/09/04/google-ventures-design-process#.tnw_APhnod9G,my_library,"design, prodmgmt",2022-06-23T20:31:06.000Z,https://img-cdn.tnwcdn.com/image/tnw-blurple?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2014%2F09%2Fdesign-notes.jpg&signature=ab02a9a4be8065075a091b93fd0c5627,,False
876782508,Eight Habits of Expert Software Designers: An Illustrated Guide,,"The best designers employ specific habits, learned practices, and observed principles when they work. Here are a few of them.",https://thereader.mitpress.mit.edu/habits-of-expert-software-designers,my_library,"design, prodmgmt, ui-ux",2022-01-29T20:13:09.000Z,https://thereader.mitpress.mit.edu/wp-content/uploads/2019/09/final-desk.png,,False
876782314,"Great products do less, but better",,When feature bloat can hurt more than help your business goals.,https://uxdesign.cc/great-products-do-less-things-but-better-5dde0ee3fc76,my_library,"design, prodmgmt, ui-ux",2022-01-17T21:22:23.000Z,https://miro.medium.com/v2/resize:fit:1200/0*tmcYX3yHNkGPOnN7.png,,False
876779783,Why Japan Didn’t Create the iPod (2008),,,https://blog.gatunka.com/2008/05/05/why-japan-didnt-create-the-ipod,my_library,"audio, design, prodmgmt",2021-07-26T09:53:31.000Z,,,False
876779139,Improving The Performance Of An Online Store (Case Study),,Getting a good performance score from Google is hard for any website — but doing so for an online store is even harder. We achieved green scores — even several for mobile. Here is how we did it.,https://smashingmagazine.com/2021/06/front-end-performance-online-store-jewellerybox,my_library,"css, design, ecommerce, fonts-typography, javascript, prodmgmt, webdev",2021-06-03T01:40:22.000Z,https://archive.smashing.media/assets/344dbf88-fdf9-42bb-adb4-46f01eedd629/8a350bf5-9114-420c-b587-fee03ea4acb6/jewellerybox-uk-online-store-scipioerp.jpg,,False
876777545,"How to Eat an Elephant, One Atomic Concept at a Time - kwokchain",,"How Figma and Canva are taking on Adobe—and winning In 2010, Photoshop was ubiquitous. Whether you were editing a photo, making a poster, or designing a website, it happened in Photoshop.  Today, Adobe looks incredibly strong. They’ve had spectacular stock performance, thanks to clear-eyed management who’ve made bold bets that have paid off. Their transition … Continue reading How to Eat an Elephant, One Atomic Concept at a Time →",https://kwokchain.com/2021/02/05/atomic-concepts,my_library,"design, platforms, prodmgmt, programming",2021-02-06T02:35:19.000Z,https://i0.wp.com/kwokchain.com/wp-content/uploads/2021/02/image-1.png?fit=800%2C559&ssl=1,,False
876775953,The cheap pen that changed writing forever,,Fountain pens were a stylish statement but messy and impractical. Their replacement was a stroke of design genius perfectly in time for the era of mass production.,https://www.bbc.com/future/article/20201028-history-of-the-ballpoint-pen,my_library,"design, prodmgmt",2020-11-01T16:10:35.000Z,https://ychef.files.bbci.co.uk/624x351/p08wq96d.jpg,,False
876773549,The Untold Story of the Vegetable Peeler That Changed the World,,The origin story of one of the great icons of 20th-century industrial design.,https://getpocket.com/explore/item/the-untold-story-of-the-vegetable-peeler-that-changed-the-world,my_library,"design, goodreads, prodmgmt",2020-01-20T18:44:16.000Z,https://pocket-image-cache.com/1200x/filters:format(jpg):extract_focal()/https%3A%2F%2Fpocket-syndicated-images.s3.amazonaws.com%2Farticles%2F1027%2F1621987878_GettyImages-1218981896.jpg,,False
876770872,15 Steps to Understand & Influence User Behavior: A Deep Dive,,Understanding user behavior is key to understanding how users interact with your product. Here are 15 steps to analyze & change their interactions to your benefit.,https://ui-patterns.us10.list-manage.com/track/click?e=e535b3326a&id=760191059d&u=52822308d355dc96a394ce489,my_library,"behaviors, design, influence-persuasion, prodmgmt",2019-03-22T02:55:59.000Z,https://www.datocms-assets.com/16499/1571503812-coverwhitebg.png?auto=format,,False
