id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876793783,Download The Ultimate Docker Cheat Sheet,,"Get your Docker Cheat Sheet as PDF or PNG. In this article, you learn how to write Dockerfiles, build images, and run them as container.",https://devopscycle.com/blog/the-ultimate-docker-cheat-sheet,my_library,"containers, devops, docker",2024-01-16T08:24:47.000Z,https://devopscycle.com/wp-content/uploads/sites/4/2023/11/Social-Share-Image-Docker-Cheat-Sheet-1.webp,,False
876791684,How to implement a Load Balancer Using Nginx & Docker,,Scaling becomes a necessary part for your system when your system grows in popularity. There are two...,https://dev.to/mazenr/how-to-implement-a-load-balancer-using-nginx-docker-4g73,my_library,"devops, docker, web-servers",2023-04-07T23:01:12.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fjmm4oyhgxafrjtkdyqev.png",,False
876789599,https://squeaky.ai/blog/development/how-switching-to-aws-graviton-slashed-our-infrastructure-bill-by-35-percent,,,https://squeaky.ai/blog/development/how-switching-to-aws-graviton-slashed-our-infrastructure-bill-by-35-percent,my_library,"aws, containers, cpus, devops, docker, kubernetes",2022-12-01T12:38:58.000Z,,,False
876785159,Beginner’s Guide to Kubernetes and Docker,,,https://towardsdatascience.com/beginners-guide-to-kubernetes-and-docker-c07655e43ebb?source=rss----7f60cf5620c9---4,my_library,"containers, devops, docker, kubernetes",2022-06-29T00:44:51.000Z,,,False
876780793,"Demystifying containers, Docker, and Kubernetes - Microsoft Open Source Blog",,Modern application infrastructure is being transformed by containers. The question is: How do you get started?,https://cloudblogs.microsoft.com/opensource/2019/07/15/how-to-get-started-containers-docker-kubernetes,my_library,"containers, devops, docker, kubernetes",2021-12-11T01:39:57.000Z,https://opensource.microsoft.com/blog/wp-content/uploads/2024/06/CLO20b_Jayesh_office_001.png,,False
876780055,Learning Containers From The Bottom Up,,What is a Container? Container vs. VM? Docker vs. Kubernetes. How to organize the learning efficiently?,https://iximiuz.com/en/posts/container-learning-path,my_library,"containers, devops, docker, kubernetes, linux, programming",2021-11-15T01:58:51.000Z,https://iximiuz.com/container-learning-path/docker-containerd-runc-2000-opt.png,,False
876779404,"No, we don’t use Kubernetes",,"“No, we don’t use Kubernetes”. That always gets raised eyebrows... so we decided to write about our reasoning behind this cloud architecture decision.",https://ably.com/blog/no-we-dont-use-kubernetes,my_library,"devops, docker, kubernetes, webdev",2021-07-20T21:12:57.000Z,https://files.ably.io/ghost/prod/2021/07/no-we-dont-use-kubernetes-current-setup-1.png,,False
876778234,We Don’t Use Docker,,,https://launchyourapp.meezeeworkouts.com/2021/03/why-we-dont-use-docker-we-dont-need-it.html,my_library,"devops, docker, programming",2021-03-16T11:29:51.000Z,,,False
876777577,Buildpacks vs Dockerfiles,,Read more on the Doximity Technology Blog about how our engineers and data scientists are building the largest online network for clinicians.,https://technology.doximity.com/articles/buildpacks-vs-dockerfiles,my_library,"containers, devops, docker, heroku",2021-02-10T03:26:26.000Z,"https://res.cloudinary.com/dhttas9u5/image/upload/c_fill,dpr_2,fl_progressive,h_800,q_auto,w_1600/duk0vhe6b2vyxj7f7wzj.jpg",,False
876776430,"Wait, Docker is deprecated in Kubernetes now? What do I do?",,This article explains why Docker is now deprecated in Kubernetes.,https://t.co/rhMbPeiGlh?ssr=true,my_library,"containers, devops, docker, kubernetes",2020-12-10T02:41:40.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fi%2Fmwclzdxtfgighjrwdpfa.jpeg",,False
876776187,docker | minikube,,"Overview The Docker driver allows you to install Kubernetes into an existing Docker install. On Linux, this does not require virtualization to be enabled. Requirements Install Docker 18.09 or higher (20.10 or higher is recommended) amd64 or arm64 system. If using WSL complete these steps first Usage Start a cluster using the docker driver: minikube start --driver=docker To make docker the default driver: minikube config set driver docker Requirements Docker 20.10 or higher, see https://rootlesscontaine.rs/getting-started/docker/ Cgroup v2 delegation, see https://rootlesscontaine.rs/getting-started/common/cgroup2/ Kernel 5.11 or later (5.13 or later is recommended when SELinux is enabled), see https://rootlesscontaine.rs/how-it-works/overlayfs/ Usage Start a cluster using the rootless docker driver:",https://minikube.sigs.k8s.io/docs/drivers/docker,my_library,"containers, devops, docker, kubernetes",2020-11-03T01:33:15.000Z,,,False
876775942,"How to Use Docker Images, Containers, and Dockerfiles",,With an Infographic and Cheatsheet,https://medium.com/@mostlyfocusedmike/how-to-use-docker-images-containers-and-dockerfiles-39e4e8fc181a,my_library,"containers, devops, docker",2020-10-27T14:23:41.000Z,https://miro.medium.com/v2/resize:fit:1200/1*WS7hapMkSb9NWsIf2tg22Q.png,,False
876773637,Introduction To Machine Learning Deployment Using Docker and Kubernetes,,,https://mlfromscratch.com/deployment-introduction,my_library,"devops, docker, kubernetes, machine-learning",2020-02-19T20:00:43.000Z,,,False
