id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876789617,Where Does All the Cardboard Come From? I Had to Know. (Published 2022),,Entire forests and enormous factories running 24/7 can barely keep up with demand. This is how the cardboard economy works.,https://www.nytimes.com/2022/11/28/magazine/cardboard-international-paper.html,my_library,"ecommerce, packaging, supply-chain",2022-12-05T22:01:17.000Z,https://static01.nyt.com/images/2022/12/04/magazine/04mag-cardboard-copy/04mag-cardboard-copy-videoSixteenByNine3000-v2.jpg?year=2022&h=1688&w=3000&s=1a963f64c3c22e670bfb0cac78f36baacfc9455c28c0af5fa205dfbf256b6304&k=ZQJBKqZ0VN&tw=1,,False
876787458,How to Price Shipping and Handling Fees,,Today's consumers expect free shipping for most items. But it's not always obvious for merchants to know when and how to offer it. Here's our all-new update for analyzing shipping costs and free delivery.,https://www.practicalecommerce.com/how-to-price-shipping-and-handling-fees,my_library,"ecommerce, pricing, prodmgmt, supply-chain",2022-07-18T21:29:55.000Z,https://www.practicalecommerce.com/wp-content/uploads/2022/07/071622-pet-rock-featured.jpg,,False
876784843,7 Reasons to Consider USPS Flat Rate Shipping,,Merchants in North America have many carrier choices for delivering goods to customers. The U.S. Postal Service's flat-rate shipping boxes can save money in certain instances. We compare prices in this post.,https://www.practicalecommerce.com/7-reasons-to-consider-usps-flat-rate-shipping,my_library,"ecommerce, supply-chain",2022-06-22T13:27:21.000Z,https://www.practicalecommerce.com/wp-content/uploads/2022/06/7-Reasons-to-Consider-USPS-Flat-Rate-Shipping.jpg,,False
876783778,E-commerce giants didn't deliver. So these islanders built their own online shopping ecosystem,,Local couriers are making online delivery possible in French Polynesia's 118 atolls and islands in the Pacific Ocean.,https://restofworld.org/2022/online-shopping-in-the-middle-of-the-ocean,my_library,"ecommerce, supply-chain",2022-04-03T00:01:06.000Z,https://149346090.v2.pressablecdn.com/wp-content/uploads/2022/03/E-COMMERCE20220325_0037-1-1600x900.jpg,,False
876782695,Here’s what actually happens to all your online shopping returns,,Ordering clothes from Chinese fast-fashion brands like Shein is easy. Sending them back is a lot more complicated,https://restofworld.org/2022/shein-online-shopping-returns-what-happens,my_library,"ecommerce, prodmgmt, supply-chain",2022-02-18T15:39:27.000Z,https://149346090.v2.pressablecdn.com/wp-content/uploads/2022/02/h_21.00304773-1600x900.jpg,,False
876779908,Why Amazon really built a new warehouse on the U.S.-Mexico border,,The fulfillment center in Tijuana is a symbol of how the pandemic has changed the way the world shops.,https://restofworld.us20.list-manage.com/track/click?e=8b1f6e819d&id=2dba6634b5&u=c76200c89df50977d8e39d720,my_library,"ecommerce, supply-chain",2021-09-14T12:23:25.000Z,https://149346090.v2.pressablecdn.com/wp-content/uploads/2021/09/Tijuana-Amazon-178A1663-1600x900.jpg,,False
876773853,Wayfair is all in on logistics,,Executives insist 2020 is the year Wayfair's logistics investments will show their worth.,https://www.supplychaindive.com/news/wayfair-logistics-investment/573199,my_library,"ecommerce, prodmgmt, supply-chain",2020-02-29T02:18:38.000Z,https://www.supplychaindive.com/imgproxy/shhsMYEAZHwBuZy_krvIlsKJ85jWliqNlhl192yPamY/g:nowe:0:1476/c:5310:3000/rs:fit:770:435/bG9jYWw6Ly8vZGl2ZWltYWdlL3dheWZhaXJtZW1iZXJzaGlwLmpwZw==.webp,,False
876772962,The Best E-Commerce Fulfillment Services for 2019 | PCMag.com,,"An online shopping cart and catalog is only the first step in e-commerce retail success. Once the customer buys, you need to get them their wares quickly and efficiently. That's where fulfillment services come in and we take a close look at ten of the top players.",https://www.pcmag.com/roundup/360934/the-best-e-commerce-fulfillment-services,my_library,"ecommerce, supply-chain",2019-12-23T16:59:02.000Z,https://i.pcmag.com/imagery/roundups/03zrHMjD0q6KzybApb1MS39-5.fit_lim.size_1200x630.v1569492624.jpg,,False
876772000,Free Shipping — Real Life,,Delivery robots will redefine the meaning of every object they transport,https://reallifemag.com/free-shipping,my_library,"ecommerce, prodmgmt, supply-chain",2019-08-31T18:28:42.000Z,https://reallifemag.com/wp-content/uploads/2019/02/KFNblQwA-1024x780.jpg,,False
876770696,3 Strategies to Fulfill Like Amazon,,"We can be certain that Amazon is spending millions to improve and optimize its shipping processes. In this post, I'll describe three strategies to fulfill like Amazon, even if you have a fraction of its scale and infrastructure.",https://www.practicalecommerce.com/3-strategies-to-fulfill-like-amazon,my_library,"ecommerce, supply-chain",2019-01-13T01:22:23.000Z,https://www.practicalecommerce.com/wp-content/uploads/2019/01/3-Strategies-to-Fulfill-Like-Amazon.jpg,,False
876769362,9 Tips to Manage Out-of-stock Inventory,,Sometimes even the most-prepared retailers sell out of popular items. How these inventory shortages are communicated on an ecommerce website may impact,https://www.practicalecommerce.com/9-tips-manage-stock-inventory,my_library,"ecommerce, supply-chain",2018-05-28T22:19:38.000Z,https://www.practicalecommerce.com/wp-content/uploads/2018/05/052818-out-of-stock.png,,False
