id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876795385,How to Survive 75 Hours Alone in the Ocean,,A case study digs into the medical records of a lost diver’s incredible survival story.,http://getpocket.com/explore/item/how-to-survive-75-hours-alone-in-the-ocean,my_library,"exercise-health-medicine, goodreads",2024-03-12T00:08:29.000Z,https://pocket-image-cache.com/1200x/filters:format(jpg):extract_focal()/https%3A%2F%2Fpocket-syndicated-images.s3.amazonaws.com%2Farticles%2F694%2F1633132585_dire12313131314ct.jpg,,False
876793774,A 4-Year-Old Trapped in a Teenager’s Body,,“I was all of the things people are when they’re 14 or 15” — except a decade younger.,https://www.thecut.com/2019/01/precocious-puberty-patrick-burleigh.html,my_library,"exercise-health-medicine, goodreads",2024-01-15T20:56:04.000Z,https://pyxis.nymag.com/v1/imgs/163/31c/44c573f3f064e4f0b319314da8308bee37-puberty-lede.1x.rsocial.w1200.jpg,,False
876793062,The Faulty Weathermen of the Mind,,Could a theory from the science of perception help crack the mysteries of psychosis?,https://nautil.us/the-faulty-weathermen-of-the-mind-386474?fbclid=IwAR2YjQiAzQfO1yL9EH8rkYx1rG_KY6kuwP418jf0LDHth1owA2dNfVFMnn4,my_library,"exercise-health-medicine, goodreads, neurology",2023-09-25T15:51:06.000Z,https://assets.nautil.us/sites/3/nautilus/Ravindran_HERO.png?auto=compress&fm=png&ixlib=php-3.3.1,,False
876792791,How John Fetterman Came Out of the Darkness,,"In a series of emotional interviews, the unconventional senator opens up about his battle with depression.",http://time.com/6296038/john-fetterman-depression-cover-story,my_library,"emotions, exercise-health-medicine, goodreads",2023-07-25T01:34:53.000Z,https://api.time.com/wp-content/uploads/2023/07/john-fetterman-mental-health-03.jpg?quality=85&w=1200&h=628&crop=1,,False
876790896,The people who feel they are shrinking,,"A surprising number of people experience symptoms of this curious condition, which is named after Lewis Carroll's heroine, who changed size after eating and drinking.",https://www.bbc.com/future/article/20230313-the-mystery-of-alice-in-wonderland-syndrome,my_library,"exercise-health-medicine, goodreads, neurology",2023-03-14T17:26:46.000Z,https://ychef.files.bbci.co.uk/624x351/p0f8jbdw.jpg,,False
876790824,Dinner with Proust: how Alzheimer’s caregivers are pulled into their patients’ worlds,,The long read: What do you say to someone whose wife prefers photographs of deceased authors to him?,https://www.theguardian.com/society/2023/feb/28/dinner-with-proust-how-alzheimers-caregivers-are-pulled-into-their-patients-worlds,my_library,"exercise-health-medicine, goodreads, memory-recall",2023-03-03T14:19:01.000Z,https://i.guim.co.uk/img/media/4f5a9bc0835032690c3ed6cdd9e9e48f67db4021/0_0_5000_3000/master/5000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMjMucG5n&enable=upscale&s=30ae7f2c425c32bab2d48328e7ef9abe,,False
876790775,‘One billionaire at a time’: inside the Swiss clinics where the super-rich,,"The long read: For the ultra-wealthy and the super-famous, regular therapy won’t do",https://www.theguardian.com/society/2023/feb/23/one-billionaire-at-a-time-swiss-clinics-super-rich-rehab-therapy-paracelsus-kusnacht,my_library,"exercise-health-medicine, goodreads",2023-02-24T12:50:24.000Z,https://i.guim.co.uk/img/media/8b7b9deb5ce8eaff83d8f7e250f225b1cf1e5e2e/0_1_4996_2998/master/4996.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMjMucG5n&enable=upscale&s=07426dc18449c43edd8489ccb07e92f6,,False
876790736,The long search for artificial hearts,,"Humanity's engineering achievements have been extraordinary, so why has building an artificial heart has proved to be more challenging than expected.",https://www.bbc.com/future/article/20230217-the-61-year-long-search-for-artificial-hearts,my_library,"exercise-health-medicine, goodreads",2023-02-18T21:45:43.000Z,https://ychef.files.bbci.co.uk/624x351/p0f3tmls.jpg,,False
876790655,The Laundress Was Supposed to Be the Nice Detergent,,Until people started breaking out into hideous rashes.,https://www.thecut.com/article/the-laundress-detergent-recall-bacteria.html,my_library,"exercise-health-medicine, goodreads",2023-02-07T23:46:15.000Z,https://pyxis.nymag.com/v1/imgs/e51/d9c/f94fe79dd4c8c03ec50625ced78a28f91d-laundress-final.1x.rsocial.w1200.jpg,,False
876788837,COVID-19 Origins: Investigating a “Complex and Grave Situation” Inside a Wuhan Lab,,"The Wuhan lab at the center of suspicions about the pandemic’s onset was far more troubled than known, documents unearthed by a Senate team reveal. Tracing the evidence, Vanity Fair and ProPublica give the clearest view yet of a biocomplex in crisis.",https://www.propublica.org/article/senate-report-covid-19-origin-wuhan-lab,my_library,"exercise-health-medicine, goodreads",2022-10-30T18:24:12.000Z,https://img.assets-d.propublica.org/v5/images/20221027-trackers-lead.jpg?crop=focalpoint&fit=crop&fp-x=0.5&fp-y=0.5&h=630&imgixProfile=propublicaAssetsV5&q=90&w=1200&s=0b364f8070129378505ecd28687ba7ac,,False
