id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876791640,12 Of The Most Beautiful Hiking Trails In 2024,,"Discover some of the most beautiful hiking in the world on these bucket list hikes, from the Dolomite High Route to Everest Base Camp and many more.",https://www.thetravel.com/most-beautiful-hiking-trails-in-the-world,my_library,"expat-travel, hiking",2023-04-01T22:25:19.000Z,https://static1.thetravelimages.com/wordpress/wp-content/uploads/2023/11/everest-base-camp-trek-nepal.jpg,,False
876791639,Hexatrek : The long distance thru hike in France,,"A long distance european hiking trail of 3034 km. The longest trek in France in the heart of the most beautiful national parks. Thru-hike the french mountains and hike through Vosges, Jura, Alps, Ecrins, Vercors, Ardèche, Cevennes, Languedoc and the Pyrenees.",https://en.hexatrek.com,my_library,"expat-travel, hiking",2023-04-01T22:25:07.000Z,"https://static.wixstatic.com/media/ee5b40_d9a85f7252624f59b4a6ee903e758bc7~mv2.jpg/v1/fill/w_1350,h_1080,al_c/ee5b40_d9a85f7252624f59b4a6ee903e758bc7~mv2.jpg",,False
876788603,23 of the world’s greatest hiking trails | CNN,,"From multiday treks tracing the routes of a Japanese poet to classic climbs in Argentina’s Lake District, here are the 23 best hiking trails in the world.",https://www.cnn.com/travel/article/world-best-hiking-trails-cmd/index.html,my_library,"expat-travel, hiking",2022-09-22T10:43:34.000Z,"https://media.cnn.com/api/v1/images/stellar/prod/190327101521-hikers-2.jpg?q=x_0,y_0,h_1800,w_3198,c_fill/w_800",,False
876784031,"This Stunning Mountain Destination Is an Outdoor Adventurer's Paradise — With Epic Hikes, Scenic Campgrounds, and Waterfall Views",,"Your guide to the dreamy Blue Ridge Mountains, including excellent hikes, beautiful drives, and the best hotels and campgrounds.",https://apple.news/ACTMvDAvBRTiLPsi9v-VR8A,my_library,"expat-travel, hiking",2022-06-01T11:27:58.000Z,https://c.apple.news/AgEXQUNUTXZEQXZCUlRpTFBzaTl2LVZSOEEAMA,,False
876784018,Walks of a Lifetime: Six Epic Mountain Hikes Across Europe,,"From a sandstone labyrinth to bears and marmots, Europe’s hills and mountains offer exhilarating long-distance walks. Just don’t forget your poles and harness.",https://getpocket.com/explore/item/walks-of-a-lifetime-six-epic-mountain-hikes-across-europe,my_library,"expat-travel, hiking",2022-05-30T11:32:53.000Z,https://pocket-image-cache.com/1200x/filters:format(jpg):extract_focal()/https%3A%2F%2Fpocket-syndicated-images.s3.amazonaws.com%2Farticles%2F7847%2F1653025161_GettyImages-1283033534.jpg,,False
876783950,8 Rails-to-Trails Adventures in the U.S. (Published 2022),,"Tens of thousands of miles of abandoned railroad tracks have been developed into recreational paths since the 1960s. Here are scenic pathways through deserts, valleys, mountain passages and more.",https://www.nytimes.com/2022/05/23/travel/cycling-bike-paths.html,my_library,"expat-travel, hiking",2022-05-25T23:25:07.000Z,https://static01.nyt.com/images/2022/05/17/travel/00rails-to-trails10/merlin_206997138_8873fd3a-7e6e-4979-be5a-f68d4ae67eff-largeHorizontalJumbo.jpg?year=2022&h=683&w=1024&s=a47b59ae9ff7073a84af6a9dd468392e93134bc74c95e441f2fbe0107d4d3c16&k=ZQJBKqZ0VN,,False
876780097,They set out to hike three of America's longest trails in less than a year. What could go wrong?,,"Jackson Parell and Sammy Potter hatched an ambitious plan during the height of the COVID-19 pandemic: to hike three of the nation’s most arduous trails — the Appalachian, Pacific Crest and Continental Divide — in a single year.",https://www.latimes.com/california/story/2021-11-19/how-2-stanford-students-conquered-the-triple-crown-of-hiking,my_library,"expat-travel, hiking",2021-11-24T10:40:02.000Z,https://ca-times.brightspotcdn.com/dims4/default/595de0c/2147483647/strip/true/crop/4500x2363+0+319/resize/1200x630!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F5c%2F0d%2F174a35554353836473050666cfd2%2Fla-photos-1staff-737663-me-0806-cytc-hike-cdt-50-gmf.jpg,,False
876778432,Hiking the Mountain Trails Less Traveled in Colorado – Texas Monthly,,The hills are alive with socially distant adventures.,https://www.texasmonthly.com/travel/hiking-the-mountain-trails-less-traveled-in-colorado,my_library,"expat-travel, goodreads, hiking",2021-04-16T09:25:52.000Z,https://img.texasmonthly.com/2021/04/colorado-national-monument.jpg?auto=compress&crop=faces&fit=fit&fm=pjpg&ixlib=php-3.3.1&q=45,,False
876778431,"Inside the Thrilling, Slightly Terrifying World of Austrian Hut-to-Hut Hiking",,"Up, up, and away!",https://www.afar.com/magazine/an-adventurous-hut-to-hut-hiking-trip-in-the-austrian-alps,my_library,"expat-travel, goodreads, hiking",2021-04-16T09:21:51.000Z,https://afar.brightspotcdn.com/dims4/default/28ff7bf/2147483647/strip/true/crop/1204x602+118+0/resize/1440x720!/quality/90/?url=https%3A%2F%2Fk3-prod-afar-media.s3.us-west-2.amazonaws.com%2Fbrightspot%2Fc4%2F8b%2Ffd418f16a6a1c760186b8f08e926%2Foriginal-austria-header.jpg,,False
876769708,8 Day Hikes in the U.S. That You'll Love,,Because life is better outside.,https://food52.com/blog/23005-day-hikes-in-the-u-s-that-you-will-love,my_library,"expat-travel, hiking",2018-09-10T22:07:49.000Z,https://images.food52.com/257I0OJYIsylKLpOWz4ULz-EKqk=/fit-in/1200x1200/ba30590e-e696-4f14-ae92-81d5c750d133--arch-arid-barren-290101.jpg,,False
876769670,Camp your way | Discover the best camping near you,,"From seaside campsites to luxury treehouses, we're the most comprehensive guide to camping and glamping across the UK. Camp on farms, beaches and country estates.",https://www.hipcamp.com,my_library,"camping, expat-travel, hiking",2018-09-03T15:07:55.000Z,https://www.hipcamp.com/campground-photos/ffkppwmgonztshic9fgv.jpg,,False
876769357,Life Below The Rim Of The Grand Canyon At Phantom Ranch,,"Employees and guests alike will tell you that it's impossible to explain the feeling at Phantom Ranch, a bunkhouse and restaurant on the canyon's floor. It's a vibe you have to experience to get.",https://www.npr.org/2018/05/27/614506521/life-below-the-rim-of-the-grand-canyon-at-phantom-ranch,my_library,"expat-travel, hiking",2018-05-27T13:44:43.000Z,https://media.npr.org/assets/img/2018/05/25/img_7542_wide-5a01b03f7082b641670914ecd22968d579b3c6cf.jpg?s=1400&c=100&f=jpeg,,False
876769048,How the Japanese Practice of “Forest Bathing”—Or Just Hanging Out in the Wo,,"When the U.S. media began reporting on the phenomenon of “forest bathing” as a therapy for mental and physical health, the online commentariat—as it will—mocked the concept relentlessly as yet another pretentious, bourgeois repackaging of something thoroughly mundane.",http://www.openculture.com/2017/12/how-the-japanese-practice-of-forest-bathing-can-lower-stress-levels-and-fight-disease.html,my_library,"expat-travel, hiking",2017-12-20T19:48:51.000Z,https://cdn8.openculture.com/2017/12/18235530/forest-bathing3-e1513670154745.png,,False
