id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
892552273,The Shipwreck Detective,,Nigel Pickford has spent a lifetime searching for sunken treasure—without leaving dry land.,https://www.newyorker.com/magazine/2024/11/11/the-shipwreck-detective,my_library,"mysteries, goodreads",2024-11-04T11:37:21.492Z,"https://media.newyorker.com/photos/6721228efab88ef251e1c178/16:9/w_1280,c_limit/r45208.jpg",,False
876796906,The Obsession,,"A multicultural, interfaith family in 1970s San Francisco reported a series of unexplained phenomena. Then a priest with a dark past stepped up.",https://getpocket.com/explore/item/the-obsession-truly-horror,my_library,"exorcism, goodreads, mysteries",2024-05-12T01:01:43.000Z,https://pocket-image-cache.com/1200x/filters:format(jpg):extract_focal()/https%3A%2F%2Fpocket-syndicated-images.s3.amazonaws.com%2Farticles%2F9987%2F1715046105_coverobsession.png,,False
876796839,Inside the Decades Long Hunt for the Mongolian Death Worm,,Some say the true death worm has already been found—slithering beneath the sands of the Gobi.,https://www.atlasobscura.com/articles/mongolian-death-worm,my_library,"folklore, goodreads, mysteries",2024-05-04T19:55:41.000Z,https://img.atlasobscura.com/qjcyqVjI6gvM7xj5w3KusB4jzSvAUFd3sAASzYkflIw/rt:fit/w:600/q:81/sm:1/scp:1/ar:1/aHR0cHM6Ly9hdGxh/cy1kZXYuczMuYW1h/em9uYXdzLmNvbS91/cGxvYWRzL2Fzc2V0/cy9kYzdlNzU4ZjEx/MWM2YzY0NDRfTW9u/Z29saWFuIGRlYXRo/IHdvcm0gUFJPTU8u/anBn.jpg,,False
876795608,The Family Who Vanished Into the Bush,,The two disappearances of Tom Phillips and his children.,https://slate.com/human-interest/2024/04/missing-family-kids-tom-phillips-new-zealand-true-crime.html,my_library,"goodreads, mysteries",2024-04-12T23:05:35.000Z,https://compote.slate.com/images/cdc9afab-22a6-4479-a15f-b67a2a10a410.jpeg?crop=1620%2C1080%2Cx170%2Cy0&width=1560,,False
876792858,"The Elusive, Maddening Mystery of the Bell Witch - Atlas Obscura",,"A classic ghost story has something to say about America—200 years ago, 100 years ago, and today.",https://www.atlasobscura.com/articles/who-was-the-bell-witch,my_library,"goodreads, history, mysteries",2023-08-05T10:49:45.000Z,https://img.atlasobscura.com/MS4O_eY0ETnQEb8LEk_J9rdrg6tftUGFksVcy0TiE5A/rt:fit/w:600/q:81/sm:1/scp:1/ar:1/aHR0cHM6Ly9hdGxh/cy1kZXYuczMuYW1h/em9uYXdzLmNvbS91/cGxvYWRzL2Fzc2V0/cy9iNzFlYzBiMGU4/OGViYTNkNjBfVGhl/IEJlbGwgV2l0Y2gg/aWxsdXN0cmF0aW9u/X0EgY3JlZXB5IGhh/bmQgaG9sZGluZyBh/IGhvdXNlIHdpdGgg/Ymxvb2Qgb296aW5n/IG91dCBvZiBmaW5n/ZXJzIGFuZCBmbG93/ZXJzLmpwZw.jpg,,False
876791816,The Lost Music of Connie Converse,,"A writer of haunting, uncategorizable songs, she once seemed poised for runaway fame. But only decades after she disappeared has her music found an audience.",https://newrepublic.com/article/171925/lost-music-connie-converse-howard-fishman-review,my_library,"goodreads, music, mysteries",2023-04-24T13:47:30.000Z,https://images.newrepublic.com/5a8f6e6fafa7c470c4d11c64280084a56229ee6c.jpeg?w=1200&h=630&crop=faces&fit=crop&fm=jpg,,False
876790710,Avenging Billy: How amateur sleuths took on a gay porn actor’s haunting Hollywood murder,,Local sleuths help find a suspect in gay porn actor Bill Newton's murder. His dismembered head and feet were found in a Hollywood dumpster in 1990.,https://www.latimes.com/california/story/2023-02-07/sleuths-help-lapd-cold-case-bill-newton,my_library,"goodreads, mysteries, truecrime",2023-02-15T21:21:15.000Z,https://ca-times.brightspotcdn.com/dims4/default/ec9ff40/2147483647/strip/true/crop/1280x672+0+18/resize/1200x630!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F7b%2F78%2F1ef193d1434ea28211ce63cec322%2Fla-me-weho-cold-case-murder01.PNG,,False
876784889,Stranger Things: A Reading List of Unsolved Mysteries,,Tales of odd phenomena stoke our imagination even as they tease us.,https://longreads.com/2022/06/15/unsolved-mysteries-reading-list,my_library,"goodreads, mysteries",2022-06-23T20:23:41.000Z,https://longreads.com/wp-content/uploads/2022/06/gettyimages-166617405-scaled.jpg,,False
876784870,What Really Happened to Malaysia’s Missing Airplane,,"Five years ago, the flight vanished into the Indian Ocean. Officials on land know more about why than they dare to say.",https://www.theatlantic.com/magazine/archive/2019/07/mh370-malaysia-airlines/590653,my_library,"aviation, goodreads, mysteries",2022-06-23T02:42:35.000Z,https://cdn.theatlantic.com/thumbor/EOKY3nbbBy7qNCC2u4JRomEwHeM=/0x52:2437x1321/1200x625/media/img/2019/06/WEL_MH370_Lead/original.jpg,,False
876782324,What Lies Beneath,,"In 1708, the Spanish galleon San José sank in a deadly battle against English warships, taking with it billions in treasure. Centuries passed until a secretive archaeologist found the wreck, but now nations are again warring over who may claim the gold and glory.",https://www.vanityfair.com/style/2022/01/what-lies-beneath,my_library,"goodreads, history, mysteries",2022-01-21T13:38:14.000Z,"https://media.vanityfair.com/photos/61d5dc99032cc7dea074583b/16:9/w_1280,c_limit/VF0222_Treasure_Hunters_Lede.jpg",,False
