id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876794105,Hotwire Modals in Ruby on Rails with Stimulus and Turbo Frames,,"In the first part of our series, we'll explore two Hotwire methods to make modals accessible in your Rails application.",https://blog.appsignal.com/2024/02/21/hotwire-modals-in-ruby-on-rails-with-stimulus-and-turbo-frames.html,my_library,"html, javascript, rubyonrails, ui-ux",2024-02-23T18:51:01.000Z,https://ondemand.bannerbear.com/signedurl/Mn62mqoVbWvyB5wgQ1/image.jpg?modifications=W3sibmFtZSI6InRpdGxlIiwidGV4dCI6IkhvdHdpcmUgTW9kYWxzIGluIFJ1Ynkgb24gUmFpbHMgd2l0aCBTdGltdWx1cyBhbmQgVHVyYm8gRnJhbWVzIn0seyJuYW1lIjoiaW1hZ2UiLCJpbWFnZV91cmwiOiJodHRwczovL2FwcHNpZ25hbC1uZXh0anMtYmxvZy1ueXFyNnFjcjgtYXBwc2lnbmFsLnZlcmNlbC5hcHAvaW1hZ2VzL2Jsb2cvMjAyNC0wMi9ob3R3aXJlLXAxLmpwZyJ9LHsibmFtZSI6ImNhdGVnb3J5X2xvZ28iLCJpbWFnZV91cmwiOiJodHRwczovL2FwcHNpZ25hbC1uZXh0anMtYmxvZy1ueXFyNnFjcjgtYXBwc2lnbmFsLnZlcmNlbC5hcHAvaW1hZ2VzL2xvZ29zL3J1YnktbG9nby5wbmcifV0&s=ce18d1f1edeba06dbbe83d2b58298b437d29a7ce2a13f007ae44dd30fab56545,,False
876792927,✨? An Eye-Catching Card with a nice Hover Effect using HTML and SCSS,,A post by Smit Prajapati,https://dev.to/smitprajapati/an-eye-catching-card-with-a-nice-hover-effect-using-html-and-scss-mj1,my_library,"css, html, ui-ux, webdev",2023-08-15T18:55:42.000Z,"https://media2.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fxuc4lfuypd0f5b1i4y2j.jpg",,False
876790755,Articles — Smashing Magazine,,"Smashing Magazine — front-end, UX and design for front-end engineers and designers",https://www.smashingmagazine.com/articles,my_library,"browsers, css, html, svg, ui-ux, webdev",2023-02-22T00:13:58.000Z,,,False
876789842,"An Ultimate Guide On Sizing, Spacing, Grids And Layout In Web And UI/UX Des",,"A grid is like invisible glue that holds a design together. Even when elements are physically separated from each other, something invisible connects them together. Grids help designers to build better products by tying different design elements together to achieve effective hierarchy, alignment and consistency, with little effort. If executed properly, your designs will appear thoughtful and organized. In this article Nick Babich aims to give you a good understanding of grid systems, what they are, and how they can be applied to your design process. Understanding how to use grids will come from practical experience.",https://www.smashingmagazine.com/2022/12/guide-sizing-spacing-grids-layout-web-ui-ux-design,my_library,"html, ui-ux, webdev",2022-12-30T23:24:57.000Z,https://archive.smashing.media/assets/344dbf88-fdf9-42bb-adb4-46f01eedd629/82e5b2e4-1ffc-4b54-8c90-eab7e13320fd/layout-grids-baselinegrids-preview-opt.png,,False
876782509,Responsive Images - A Reference Guide from A to Z,,"Chapter 1 - What is responsive images?   In this guide, we will learn everything related to...",https://dev.to/manu4543/responsive-images-a-reference-guide-from-a-to-z-30aa,my_library,"css, html, ui-ux",2022-01-29T20:13:10.000Z,https://dev-to-uploads.s3.amazonaws.com/uploads/articles/3otvb2z646ytpt1hl2rv.jpg,,False
876782239,"Front-End Performance Checklist 2021 (PDF, Apple Pages, MS Word) — Smashing Magazine",,"Let’s make 2021... fast! An annual front-end performance checklist, with everything you need to know to create fast experiences on the web today, from metrics to tooling and CSS/JavaScript techniques.",https://www.smashingmagazine.com/2020/01/front-end-performance-checklist-2020-pdf-pages,my_library,"css, html, ui-ux, webdev",2022-01-17T21:18:47.000Z,https://archive.smashing.media/assets/344dbf88-fdf9-42bb-adb4-46f01eedd629/08a226c5-5a9a-4bd2-bba7-dad7e74f69e9/adaptive-media-serving-opt.png,,False
876782218,Better Link Labels: 4Ss for Encouraging Clicks,,"Specific link text sets sincere expectations and fulfills them, and is substantial enough to stand alone while remaining succinct.",https://www.nngroup.com/articles/better-link-labels,my_library,"html, ui-ux",2022-01-17T21:17:55.000Z,https://media.nngroup.com/media/articles/opengraph_images/better-link-labels.png,,False
876782210,https://yangshun.github.io/front-end-interview-handbook/,,,https://yangshun.github.io/front-end-interview-handbook,my_library,"css, html, ui-ux",2022-01-17T21:17:22.000Z,,,False
876782196,"Front-End Performance Checklist 2021 (PDF, Apple Pages, MS Word) — Smashing Magazine",,"Let’s make 2021... fast! An annual front-end performance checklist, with everything you need to know to create fast experiences on the web today, from metrics to tooling and CSS/JavaScript techniques.",https://www.smashingmagazine.com/2019/01/front-end-performance-checklist-2019-pdf-pages,my_library,"css, html, javascript, ui-ux, webdev",2022-01-17T21:16:29.000Z,https://archive.smashing.media/assets/344dbf88-fdf9-42bb-adb4-46f01eedd629/08a226c5-5a9a-4bd2-bba7-dad7e74f69e9/adaptive-media-serving-opt.png,,False
876780960,1000+ Free HTML Website Templates (2024) - HTML Templates,,The ultimate showcase of the best high-quality free HTML website templates on the internet. Free Download without registration!,https://htmltemplates.co,my_library,"html, ui-ux",2021-12-15T02:32:52.000Z,,,False
