id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
938557288,Parklife - Parklife: turn a Rack app into a static build,,,https://parklife.dev/,my_library,"rubyonrails, static-sites, jekyll",2025-01-06T02:45:53.122Z,,,False
893647124,Deploying a Jekyll site with Kamal,,"Since Kamal 2 can host multiple sites on the same server, I am consolidating my apps into larger hosts so I have less servers to worry about. Most of my apps are Rails apps, but I have a few static jekyll sites like this blog and I decided to look into how could I move this site to a server I host other Rails apps on.",https://greg.molnar.io/blog/deploying-a-jekyll-site-with-kamal/,my_library,"jekyll, rubyonrails",2024-11-05T14:33:07.435Z,https://greg.molnar.io/images/og/posts/deploying-a-jekyll-site-with-kamal.png,,False
876791635,Sharing Rails views with Jekyll [Brighter Planet's Safety in Numbers],,,https://numbers.brighterplanet.com/2010/08/09/sharing-rails-views-with-jekyll,my_library,"jekyll, rubyonrails",2023-04-01T19:38:45.000Z,,,False
876784150,Introduction to Collections in Jekyll | DigitalOcean,,A quick overview of using collections in Jekyll to create powerful taxonomies around your content.,https://www.digitalocean.com/community/tutorials/jekyll-collections,my_library,"jekyll, ruby",2022-06-11T16:53:08.000Z,https://www.digitalocean.com/_next/static/media/intro-to-cloud.d49bc5f7.jpeg,,False
876784148,Collections in Jekyll,,"By Farrel Burns  Brought to you by CloudCannon, the Git-based CMS for Jekyll.           What you’ll...",https://dev.to/cloudcannon/collections-in-jekyll-1e4h,my_library,"jekyll, ruby",2022-06-11T16:52:31.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fw18iuevwd481hie97umg.png",,False
876782865,Jekyll Liquid Cheatsheet,,Jekyll Liquid Cheatsheet · GitHub,https://gist.github.com/JJediny/a466eed62cee30ad45e2,my_library,"jekyll, ruby",2022-03-19T22:06:02.000Z,https://github.githubassets.com/assets/gist-og-image-54fd7dc0713e.png,,False
876782149,3 Simple steps to setup Jekyll Categories and Tags,,"Why Jekyll Categories or Tags? Imagine you have a blog where you discuss very different things all together. Many bloggers post their personal experiences along with some professional posts. Curating information is very important to make users browse through your website with ease. What if New York Times had no categories like Politics, Business, Tech etc..? How hard would it be to track what happened to last night’s football game? There should be a Sports category to make readers’ life easy.",https://blog.webjeda.com/jekyll-categories,my_library,"jekyll, ruby",2022-01-17T19:24:05.000Z,https://blog.webjeda.com/assets/thumbs/jekyll-categories.png,,False
876782140,3 Easy Steps to Implement Jekyll Collections!,,Why ‘Jekyll Collections’?,https://blog.webjeda.com/jekyll-collections,my_library,"jekyll, ruby",2022-01-17T19:20:59.000Z,https://blog.webjeda.com/assets/thumbs/jekyll-collections.png,,False
876781000,"Jekyll • Simple, blog-aware, static sites",,Transform your plain text into static websites and blogs,https://jekyllrb.com,my_library,"jekyll, ruby",2021-12-17T00:19:40.000Z,https://jekyllrb.com/img/jekyll-og.png,,False
876780958,Adding Cloudant search to your static Jekyll blog,,Making a static HTML website have dynamic search,https://medium.com/@glynn_bird/adding-cloudant-search-to-your-static-jekyll-blog-5ad76b32a902,my_library,"jekyll, ruby, search",2021-12-15T02:32:45.000Z,https://miro.medium.com/v2/resize:fit:1200/1*TRW3LITyjlZvKFedlir9lA.jpeg,,False
876780957,jenofdoom/jekyll-bootstrap-4: A starter kit for jekyll + bootstrap 4,,A starter kit for jekyll + bootstrap 4.,https://github.com/jenofdoom/jekyll-bootstrap-4,my_library,"github, jekyll, ruby",2021-12-15T02:32:42.000Z,https://opengraph.githubassets.com/d4445afbc9fb2e8d6f01271e23a929d41e8be7d4a88718cb0449ea1911c3ef52/jenofdoom/jekyll-bootstrap-4,,False
876780956,"A Guide to Creating and Hosting a Personal Website on GitHub | Jonathan McGlone | Librarian, Product Designer, User Researcher, Digital Publisher, Accessibility Specialist, Music Enthusiast, Web Noodler.",,A beginner's guide to creating a personal website and blog using Jekyll and hosting it for free using GitHub Pages.,http://jmcglone.com/guides/github-pages,my_library,"git, github, jekyll, ruby",2021-12-15T02:32:40.000Z,,,False
876780115,Jekyll Tags on Github Pages · Long Qian,,"Github page does not allow customized plugins, and jekyll-tagging is not one of the supported GEMs of Github pages. It needs some effort to add tag support your Jekyll blog hosted by Github page. This blog shows you how to do this step by step.",https://longqian.me/2017/02/09/github-jekyll-tag,my_library,"github, jekyll, ruby",2021-11-29T16:05:41.000Z,,,False
876776329,jekyll 3.8.3 | Error: uninitialized constant FFI::Platform::CPU · Issue #77,,My Environment Software Version(s) Operating System Ubuntu 19.10 jekyll Latest github-pages No Current Behavior I was trying to run sudo apt install jekyll jekyll new my-awesome-site cd my-awesome-...,https://github.com/jekyll/jekyll/issues/7712,my_library,"bundler, jekyll, ruby",2020-11-22T16:02:20.000Z,https://opengraph.githubassets.com/745d4f8248aba9e5f5c7e776683552e08d6f3661fc9398831cddc65b5e91f382/jekyll/jekyll/issues/7712,,False
876771821,Algolia for Jekyll | Add fast and relevant search to your Jekyll site,,,https://community.algolia.com/jekyll-algolia/blog.html,my_library,"jekyll, ruby, search",2019-08-23T20:55:20.000Z,,,False
