id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
881493116,The m=√p rule for random forests | R-bloggers,,"A couple of days ago, in our lab session, we discussed random forrests, and, since it was based on the example in ISLR, we had a quick discussion about the random choice of features, and the “” rule Interestingly, on that one, we can play a bit, and try all choices, and do it again, on a different train/test split, library(randomForest) library(ISLR2) set.seed(123) sim = function(t){ train = sample(nrow(Boston), size = nrow(Boston)*.7) subsim = function(i){ rf.boston",https://www.r-bloggers.com/2024/10/the-m%e2%88%9ap-rule-for-random-forests/,my_library,"machine-learning, _r_",2024-10-20T12:36:19.346Z,https://freakonometrics.hypotheses.org/files/2024/10/islr358.png,,False
876792636,A Gentle Introduction to K-Means Clustering in R (Feat. Tidyclust),,"To be successful as a Data Scientist, you’re often put in positions where you need to find groups within your data. One key business use-case is finding clusters of customers that behave similarly. And that’s a powerful skill that I’m going to help you...",https://www.r-bloggers.com/2023/07/a-gentle-introduction-to-k-means-clustering-in-r-feat-tidyclust,my_library,"clustering, machine-learning, _r_",2023-07-07T10:26:38.000Z,https://www.business-science.io/assets/063_tidyclust_thumb.jpg,,False
876789918,Brief Introduction to Correspondence Analysis,,Learn the basic steps to run a Multiple Correspondence Analysis in R,https://towardsdatascience.com/brief-introduction-to-correspondence-analysis-a88297ebba2a?source=rss----7f60cf5620c9---4,my_library,"machine-learning, _r_",2023-01-16T16:27:02.000Z,https://miro.medium.com/v2/resize:fit:1200/1*OigNoAIlGNKT7ZfyQ5L7UQ.jpeg,,False
876784157,Survival Analysis in R (in under 10-minutes),,"Making a survival analysis can be a challenge even for experienced R users, but the good news is I’ll help you make beautiful, publication-quality survival plots in under 10-minutes. Here’s what WE are going to do: Make your first survival model an...",https://www.r-bloggers.com/2022/06/survival-analysis-in-r-in-under-10-minutes,my_library,"machine-learning, survival-analysis, _r_",2022-06-11T21:19:22.000Z,https://www.business-science.io/assets/survival_plots-2.jpg,,False
876782872,Welcome · Advanced R.,,,http://adv-r.had.co.nz,my_library,"books, machine-learning, _r_",2022-03-21T20:39:15.000Z,,,False
876780105,Three R Libraries Every Data Scientist Should Know (Even if You Use Python),,Powerful R libraries built by the World’s Biggest Tech Companies,https://towardsdatascience.com/three-r-libraries-every-data-scientist-should-know-even-if-you-use-python-7e9d95e4a415,my_library,"machine-learning, _r_",2021-11-28T21:46:22.000Z,https://miro.medium.com/v2/resize:fit:1200/1*o_JMwR-YJXwIv2A9P-5euA.jpeg,,False
876779808,An Introduction to Statistical Learning,,,https://www.statlearning.com,my_library,"books, machine-learning, _r_",2021-08-05T16:59:23.000Z,,,False
876779153,Learn R through examples,,This is a draft of a book for learning data analysis with the R language. This book emphasizes hands activities. Comments and suggestions are welcome.,https://gexijin.github.io/learnR/index.html,my_library,"machine-learning, _r_",2021-06-05T14:43:59.000Z,,,False
876778312,UPDATED: Using R and H2O to identify product anomalies during the manufactu,,"Note. This is an update to article: Using R and H2O to identify product anomalies during the manufacturing process.It has some updates but also code optimization from Yana Kane-Esrig( https://www.linkedin.com/in/ykaneesrig/ ), as sh...",https://www.r-bloggers.com/2021/03/updated-using-r-and-h2o-to-identify-product-anomalies-during-the-manufacturing-process,my_library,"anomalies-outliers, machine-learning, _r_",2021-03-26T15:03:00.000Z,https://www.r-bloggers.com/wp-content/uploads/2016/04/R_02_2016-05-01.png,,False
876775026,Insurance Risk Pricing — Tweedie Approach - Towards Data Science,,An illustrative guide to estimate the pure premium using Tweedie models in GLMs and Machine Learning,https://towardsdatascience.com/insurance-risk-pricing-tweedie-approach-1d71207268fc,my_library,"machine-learning, risk, _r_",2020-06-01T16:45:11.000Z,https://miro.medium.com/v2/resize:fit:612/1*86MFunZoy0P1c962Dw5UsA.png,,False
876775010,What is isotonic regression?,,"Isotonic regression is a method for obtaining a monotonic fit for 1-dimensional data. Let’s say we have data such that . (We assume no ties among the ‘s for simplicity.) Informally, isotonic regression looks for such that the ‘s approximate … Continue reading →",https://www.r-bloggers.com/what-is-isotonic-regression,my_library,"machine-learning, regressions, _r_",2020-06-01T16:43:31.000Z,https://s0.wp.com/latex.php?latex=%28x_1%2C+y_1%29%2C+%5Cdots%2C+%28x_n%2C+y_n%29+%5Cin+%5Cmathbb%7BR%7D%5E2&bg=ffffff&%23038;fg=333333&%23038;s=0,,False
876775009,Text Mining with R: Gathering and Cleaning Data,,Case study of tweets from comments on Indonesia’s biggest media,https://towardsdatascience.com/text-mining-with-r-gathering-and-cleaning-data-8f8b0d65e67c?source=rss----7f60cf5620c9---4,my_library,"machine-learning, text, _r_",2020-06-01T16:43:31.000Z,https://miro.medium.com/v2/resize:fit:1200/1*In50ISWWARri4ZcPU08RXw.jpeg,,False
876769137,One-page R: a survival guide to data science with R - DataScienceCentral.com,,This article comes from Togaware. A Survival Guide to Data Science with R These draft chapters weave together a collection of tools for the data scientist—tools that are all part of the R Statistical Software Suite. Each chapter is a  collection of one (or more) pages that cover particular aspects of the topic. The chapters can be… Read More »One-page R: a survival guide to data science with R,http://www.datasciencecentral.com/profiles/blogs/one-page-r-a-survival-guide-to-data-science-with-r,my_library,"machine-learning, _r_",2017-12-27T18:10:12.000Z,https://www.datasciencecentral.com/wp-content/uploads/2021/10/2808319304.png,,False
