id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876787779,How to design a referral program,,,https://andrewchen.com/how-to-design-a-referral-program,my_library,"friction-traction, prodmgmt, virality",2022-08-17T11:24:20.000Z,,,False
876786685,http://platformed.info/virality-viral-growth-network-effects,,,http://platformed.info/virality-viral-growth-network-effects,my_library,"network-effects, platforms, prodmgmt, virality",2022-07-18T15:15:02.000Z,,,False
876786605,Jonah Berger’s 75 Examples Of Infectious Marketing,,"Make your brand messages viral with the 6 STEPPS from Jonah Berger's Contagious, including 75 real-life marketing examples to learn from.",http://www.referralcandy.com/blog/jonah-berger-contagious-75-infectious-examples-of-catchy-marketing,my_library,"friction-traction, prodmgmt, virality",2022-07-18T15:09:05.000Z,https://cdn.prod.website-files.com/6185b708a2657014268d2eaf/620492b9fa14a200079a0ccd_jonah-berger-contagious.png,,False
876786563,User Acquisition: The Five Sources of Traffic,,"This is the first post in a three post series on user acquisition. The topic of this blog post may seem simplistic to those of you who have been in the trenches, working hard to grow visits and vis…",http://blog.adamnash.com/2012/03/28/user-acquisition-five-sources-of-traffic,my_library,"friction-traction, prodmgmt, virality",2022-07-18T15:03:02.000Z,https://s0.wp.com/i/blank.jpg,,False
876786523,9 Ways to Build Virality into your Product,,"If your startup is building a consumer product, your product has to be viral. For consumer products, the average revenue per user tends to…",https://medium.com/gabor/9-ways-to-build-virality-into-your-product-5975e1fe74e3,my_library,"growth-hacks, prodmgmt, virality",2022-07-18T14:58:48.000Z,https://miro.medium.com/v2/resize:fit:1024/1*w-Ply7YUXceBV0_q-ICyVQ.png,,False
876786366,The Five Types of Virality,,and choosing the right one for your product to grow,https://news.greylock.com/the-five-types-of-virality-8ba42051928d#.t29wvo26u,my_library,"prodmgmt, virality",2022-07-05T21:49:28.000Z,https://miro.medium.com/v2/resize:fit:1200/1*z-MD4QN1vzUypmeNnpzJWg.jpeg,,False
876786321,User Acquisition: Viral Factor Basics,,"This is the second post in a three post series on user acquisition. In the first post in this series, we covered the basics of the five sources of traffic to a web-based product.  This next post co…",https://blog.adamnash.com/2012/04/04/user-acquisition-viral-factor-basics,my_library,"growth-hacks, prodmgmt, virality",2022-07-05T21:45:52.000Z,https://adamnash.blog/wp-content/uploads/2012/04/lot-of-rabbits.jpg,,False
876786305,Batman Is A Growth Hacker,,"B.J. Mendelson breaks down how Batman is a growth hacker, and what we can learn about the field from him.",http://www.adweek.com/digital/batman-is-a-growth-hacker?red=st,my_library,"friction-traction, growth-hacks, prodmgmt, virality",2022-07-05T21:42:29.000Z,https://www.adweek.com/wp-content/themes/adweek-next/assets/images/adweek-placeholder.png,,False
876786277,The Availability Cascade: How Information Spreads on a Large Scale,,,https://effectiviology.com/availability-cascade,my_library,"prodmgmt, virality",2022-07-05T21:40:34.000Z,,,False
876785132,"There’s only a few ways to scale user growth, and here’s the list",,,http://andrewchen.co/theres-only-a-few-ways-to-scale-user-growth-and-heres-the-list,my_library,"growth-hacks, prodmgmt, virality",2022-06-28T15:20:44.000Z,,,False
876784997,Liquidity hacking: Solving the chicken-egg dilemma with marketplace startups,,"Guest How to get a two-sided marketplace startup like Airbnb, Exec, or eBay up and running -- the painless way.",http://venturebeat.com/2012/11/23/liquidity-hacking,my_library,"friction-traction, growth-hacks, inventions-innovation, prodmgmt, virality",2022-06-24T00:23:13.000Z,https://venturebeat.com/wp-content/uploads/2012/11/liquidity-hacking.jpg?w=1000?w=1200&strip=all,,False
876784921,"Q: What Makes a Product Attract Early Adopters? - SKMurphy, Inc.",,This is an edited version of a recent online conversation I had with a team of bootstrappers about how to make their product attract early adopters.,https://www.skmurphy.com/blog/2019/08/01/q-what-makes-a-product-attract-early-adopters,my_library,"friction-traction, prodmgmt, virality",2022-06-23T20:33:48.000Z,https://www.skmurphy.com/wp-content/uploads/2019/08/RowOFMatches.jpg,,False
876784904,19 Tactics to Solve the Chicken-or-Egg Problem and Grow Your Marketplace,,An inside look at 19 tactics top marketplaces have used to solve the chicken-or-egg problem and kickstart growth.,https://www.nfx.com/post/19-marketplace-tactics-for-overcoming-the-chicken-or-egg-problem,my_library,"habits, prodmgmt, virality",2022-06-23T20:31:43.000Z,https://content.nfx.com/wp-content/uploads/2019/07/19-Tactics.jpeg,,False
876782647,The Tribal Network Effect (nfx #15),,"Today, we’re sharing the newest social nfx we've identified—the 15th type of network effect: Tribal Network Effects.",https://www.nfx.com/post/15th-network-effect-tribal,my_library,"platforms, prodmgmt, virality",2022-02-10T01:29:51.000Z,https://content.nfx.com/wp-content/uploads/2020/10/Header-scaled.jpg,,False
876778985,How TikTok Chooses Which Songs Go Viral,,"When Megan Thee Stallion took off her bright orange mask and walked onstage to accept her Grammy on March 14, she fought back tears and thanked God, her mother, and her managers for helping her become the first female rapper to win the award for best new artist in two decades.",https://email.getpocket.com/ls/click?upn=ky17TgJ1REx4YaZOG279kX0eKsjbbRIGziaXRcSkmSl1Shkv1J8TM64KT51b6pm0-EOl_8XOtBOf0-2BgI-2BPwTgvOpOkjz0cTGvHU6qEjV-2B98KLYXhI5rK59fXfvPezcbJXxt4IFB2WkclMchoMOU67Wt6-2B3ATu7JD0Zf7DhGFZe-2BQSHlC5y8n3-2FmzQo2BQLL4ml6nRPktuDp5T0SBWF1Zq8p1QtRlIUI5A3kfubQJixQpNjtj9hcHhjmFHi4zSLmiszMIpR1fcblI1w-2FrSMIPQZPtD7dq-2B-2Fng8TGFMevWEOL5uQyqdN00Zbpak3UVG4Yv7RUOpmn-2BKxKr2oR8iNy-2BNWE1tr7ShKSZcgiXsZW6Arm3s676cKNZ7Y6dCH-2Bc-2FhGs0b-2FMQgrBmlu7QG3G-2B1iub4rhZnGNTkAjVLX5mkVZJjGMmLGQ-2FhuNs6YNPeRQkvhaFVGfK,my_library,"music, prodmgmt, tiktok, virality",2021-05-12T17:28:32.000Z,https://pocket-image-cache.com/unsafe/https%3A%2F%2Fassets.bwbx.io%2Fimages%2Fusers%2FiqjWHBFdfxIU%2FiTMAPe4Jft5U%2Fv0%2F1200x630.jpg,,False
