id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876795507,Modular Open-Sources Mojo: The Programming Language that Turns Python into,,"In the rapidly evolving world of technology and artificial intelligence, a new development has emerged that promises to impact the Python and AI communities significantly. Modular, a pioneering tech firm, has announced the open-sourcing of Mojo, a programming language designed to enhance Python's capabilities, allowing developers to write code that scales 'all the way down to metal code.' This move is set to transform Python programming, offering unprecedented speed and efficiency. Modular has long championed open-source principles, and the release of Mojo under the Apache 2 license represents a significant step towards fulfilling its vision. Since its initial release in",https://www.marktechpost.com/2024/03/31/modular-open-sources-mojo-the-programming-language-that-turns-python-into-a-beast,my_library,"python, programming",2024-04-02T16:18:04.000Z,https://www.marktechpost.com/wp-content/uploads/2024/03/Blog-Banner.png,,False
876792903,pypdfium2 · PyPI,,Python bindings to PDFium,https://pypi.org/project/pypdfium2,my_library,"pdfs, programming, python",2023-08-07T00:43:57.000Z,https://pypi.org/static/images/twitter.abaf4b19.webp,,False
876791903,Geospatial Data Analysis with GeoPandas,,Learn how to manipulate and visualize vector data with Python’s GeoPandas,https://towardsdatascience.com/geospatial-data-analysis-with-geopandas-876cb72721cb?source=rss----7f60cf5620c9---4,my_library,"geometry, pandas, programming, python",2023-05-07T17:08:20.000Z,https://miro.medium.com/v2/da:true/resize:fit:1000/0*s19BJb439dYfga-R,,False
876791764,Goodbye os.path: 15 Pathlib Tricks to Quickly Master The File System in Python,,No headaches and unreadable code from os.path,https://towardsdatascience.com/goodbye-os-path-15-pathlib-tricks-to-quickly-master-the-file-system-in-python-881213ca7c21,my_library,"programming, python",2023-04-16T15:38:37.000Z,https://miro.medium.com/v2/resize:fit:1200/1*BBMlNUN8uI2uj0zb1J6aqg.png,,False
876791709,An Introduction to Polars for Pandas Users,,Demonstrating how to use the new blazing fast DataFrame library for interacting with tabular data,https://towardsdatascience.com/an-introduction-to-polars-for-pandas-users-2a52b2a03017?source=social.tw,my_library,"pandas, programming, python",2023-04-09T11:42:47.000Z,https://miro.medium.com/v2/resize:fit:1200/1*owCKYi1ffmfBYB9_c8kz0A.png,,False
876791634,Finding Patterns in Convenience Store Locations with Geospatial Association,,Understanding spatial trends in the location of Tokyo convenience stores,https://towardsdatascience.com/finding-patterns-in-convenience-store-locations-with-geospatial-association-rule-mining-5bad7e833299,my_library,"geography, programming, python",2023-04-01T15:43:38.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*GHV-W8hVdvphUxpf,,False
876791624,"Announcing PyCaret 3.0: Open-source, Low-code Machine Learning in Python",,Exploring the Latest Enhancements and Features of PyCaret 3.0,https://moez-62905.medium.com/announcing-pycaret-3-0-an-open-source-low-code-machine-learning-library-in-python-7479e9190fa1,my_library,"machine-learning, programming, pycaret, python",2023-03-31T13:22:49.000Z,https://miro.medium.com/v2/da:true/resize:fit:630/0*ueAbHTAlJ7SNZnkF,,False
876791024,voila · PyPI,,Voilà turns Jupyter notebooks into standalone web applications,https://pypi.org/project/voila,my_library,"jupyter, programming, python, visualization, voila",2023-03-24T16:57:01.000Z,https://pypi.org/static/images/twitter.abaf4b19.webp,,False
876790967,How to make 40 interactive plots to analyze your machine learning pipeline,,"A quick guide on how to make clean-looking, interactive Python plots to validate your data and model",https://towardsdatascience.com/how-to-make-40-interactive-plots-to-analyze-your-machine-learning-pipeline-ee718afd7bc2,my_library,"machine-learning, programming, python, visualization",2023-03-19T12:43:50.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*WDU93_y4BTEMT_iL,,False
876790871,Write Readable Tests for Your Machine Learning Models with Behave,,Use natural language to test the behavior of your ML models,https://towardsdatascience.com/write-readable-tests-for-your-machine-learning-models-with-behave-ec4a27b91490?source=rss----7f60cf5620c9---4,my_library,"machine-learning, programming, python, testing",2023-03-12T01:25:16.000Z,https://miro.medium.com/v2/resize:fit:1200/1*AzyYWzYX8FpJqnD99QZtcw.png,,False
876790818,Using PyGWalker to Enhance Your Jupyter Notebook EDA Experience,,An Introduction to the PyGWalker Library for Easy Data Visualisation,https://towardsdatascience.com/use-pygwalker-to-enhance-your-jupyter-notebook-eda-experience-d7a5ee358be9?source=rss----7f60cf5620c9---4,my_library,"jupyter, programming, python, visualization",2023-03-03T11:44:51.000Z,https://miro.medium.com/v2/resize:fit:1130/1*jJDVB9TlJWJd-TAH3_9Myg.png,,False
876790732,Automate the Boring Stuff with Python,,,http://automatetheboringstuff.com,my_library,"programming, python",2023-02-17T21:45:37.000Z,,,False
876790731,40 Open-Source Tools to Supercharge Your Pandas Workflow,,Pandas receives over 3M downloads per day. But 99% of its users are not using it to its full potential.,https://open.substack.com/pub/avichawla/p/37-open-source-tools-to-supercharge-pandas,my_library,"pandas, programming, python",2023-02-17T21:45:34.000Z,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fd8c8959b-208f-4725-a4cb-a19af7a6a748_864x600.png",,False
876790667,Introducing the new JupyterLab Desktop!,,We are pleased to announce a major update to JupyterLab Desktop which adds many new features with main focus on the user experience…,https://blog.jupyter.org/introducing-the-new-jupyterlab-desktop-bca1982bdb23,my_library,"jupyter, programming, python",2023-02-09T22:36:16.000Z,https://miro.medium.com/v2/resize:fit:1200/1*8xMIZPHtmjJFVoJ8Vh6Lig.png,,False
876789847,Geometric Kernels,,"A cross-framework package for kernels and Gaussian processes on manifolds, graphs, and meshes",https://geometric-kernels.github.io,my_library,"geometry, machine-learning, programming, python",2023-01-01T15:13:37.000Z,https://geometric-kernels.github.io/assets/banner.png,,False
876789733,How to Anonymise Places in Python,,"A ready-to-run code which identifies and anonymises places, based on the GeoNames database",https://towardsdatascience.com/how-to-anonymise-places-in-python-55597d0ded24,my_library,"datasets, geofencing, geography, programming, python",2022-12-18T14:27:29.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*ysUbFyD2bPFuKxNZ,,False
876789724,Media Mix Modeling: How to measure the effectiveness of advertising with Py,,"Media Mix modeling, its implementation, and practical tips",https://towardsdatascience.com/media-mix-modeling-how-to-measure-the-effectiveness-of-advertising-with-python-lightweightmmm-b6d7de110ae6?source=rss----7f60cf5620c9---4,my_library,"advertising-commercials, analytics, programming, python",2022-12-17T22:42:48.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*YEzmKt8RXJsdmDDz,,False
876789511,3 Useful Python Automation Scripts,,The post highlights three useful applications of using python to automate simple desktop tasks. Stay tuned till the end of the post to find the reference for a bonus resource.,https://www.kdnuggets.com/2022/11/3-useful-python-automation-scripts.html,my_library,"programming, python, youtube",2022-11-08T22:13:09.000Z,https://www.kdnuggets.com/wp-content/uploads/chugh_3_useful_python_automation_scripts_3.jpg,,False
