id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876791624,"Announcing PyCaret 3.0: Open-source, Low-code Machine Learning in Python",,Exploring the Latest Enhancements and Features of PyCaret 3.0,https://moez-62905.medium.com/announcing-pycaret-3-0-an-open-source-low-code-machine-learning-library-in-python-7479e9190fa1,my_library,"machine-learning, programming, pycaret, python",2023-03-31T13:22:49.000Z,https://miro.medium.com/v2/da:true/resize:fit:630/0*ueAbHTAlJ7SNZnkF,,False
876788465,Topic Modeling on PyCaret — Redux,,A beginner’s guide to PyCaret’s natural language processing module.,https://towardsdatascience.com/topic-modeling-on-pycaret-redux-46cd8e4869f4?source=rss----7f60cf5620c9---4,my_library,"pycaret, python",2022-09-05T22:23:27.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*sHldyjbTWo3lk_CS,,False
876782100,pycaret-intro/01_intro.ipynb at master · bjpcjp/pycaret-intro,,Introductin to PyCaret.,https://github.com/bjpcjp/pycaret-intro/blob/master/01_intro.ipynb,my_library,"pycaret, python",2022-01-16T22:51:11.000Z,https://opengraph.githubassets.com/9a6c92211241443e1c87b2b01b13f175fee67f4a6b4788eb8837848ce524f4bd/bjpcjp/pycaret-intro,,False
876779984,Clustering Made Easy with PyCaret,,Low-code Machine Learning with a Powerful Python Library,https://link.medium.com/pNqb8FM5nkb,my_library,"machine-learning, pycaret, python",2021-10-17T00:12:46.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*k7m_lgr--sBapUz9,,False
876779058,Predict Customer Churn (the right way) using PyCaret,,A step-by-step guide on how to predict customer churn the right way using PyCaret that actually optimizes the business objective and improves ROI for the business.,https://towardsdatascience.com/predict-customer-churn-the-right-way-using-pycaret-8ba6541608ac?gi=1a16116db744&source=social.tw,my_library,"prodmgmt, pycaret, python",2021-05-24T03:52:48.000Z,https://miro.medium.com/v2/resize:fit:1200/1*mu45A-psfPHTIM1F_nUXBw.png,,False
876778463,Time Series Forecasting with PyCaret Regression Module,,PyCaret is an alternate low-code library that can be used to replace hundreds of lines of code with few lines only. See how to use PyCaret's Regression Module for Time Series Forecasting.,https://www.kdnuggets.com/2021/04/time-series-forecasting-pycaret-regression-module.html,my_library,"machine-learning, pycaret, python, time-series",2021-04-22T13:12:09.000Z,,,False
876778165,How to use PyCaret — the library for lazy data scientists,,"Train, visualize, evaluate, interpret, and deploy models with minimal code.",https://towardsdatascience.com/how-to-use-pycaret-the-library-for-lazy-data-scientists-91343f960bd2?source=rss----7f60cf5620c9---4,my_library,"machine-learning, pycaret, python",2021-03-06T22:17:22.000Z,https://miro.medium.com/v2/resize:fit:1200/1*q1Zn-vbaMahA9kIOhVJ-kQ.jpeg,,False
876778119,PyCaret — pycaret 2.2.0 documentation,,,https://pycaret.readthedocs.io/en/latest/index.html,my_library,"machine-learning, programming, pycaret, python",2021-02-25T23:18:40.000Z,,,False
876778118,Home - PyCaret,,"[et_pb_section fb_built=”1″ admin_label=”Header” _builder_version=”4.12.0″ background_color=”#01012C” collapsed=”on” global_colors_info=”{}”][et_pb_row column_structure=”1_2,1_2″ _builder_version=”4.12.0″ collapsed=”on” global_colors_info=”{}”][et_pb_column type=”1_2″ _builder_version=”4.12.0″ z_index=”10″ custom_padding=”18%||||false|false” global_colors_info=”{}”][et_pb_text _builder_version=”4.14.7″ text_font=”Montserrat|800|||||||” text_text_color=”#01012C” text_font_size=”470px” text_line_height=”1em” positioning=”absolute” custom_margin=”|-30%||-10%|false|false” custom_margin_tablet=”|0%||-5%|false|false” custom_margin_phone=”|0%|||false|false” custom_margin_last_edited=”on|desktop” text_font_size_tablet=”40vw” text_font_size_phone=”40vw” text_font_size_last_edited=”on|tablet” text_text_shadow_style=”preset5″ text_text_shadow_horizontal_length=”-1.5px” text_text_shadow_vertical_length=”-1.5px” text_text_shadow_color=”#DB0EB7″ global_colors_info=”{}”] pc [/et_pb_text][et_pb_text _builder_version=”4.14.7″ header_font=”Barlow Condensed|500|||||||” header_text_color=”#FFFFFF” header_font_size=”122px” custom_margin=”||0px||false|false” header_font_size_tablet=”42px” header_font_size_phone=”26px” header_font_size_last_edited=”on|tablet” global_colors_info=”{}”] low-code machine learning [/et_pb_text][et_pb_button button_url=”https://pycaret.gitbook.io” url_new_window=”on” button_text=”GET STARTED” _builder_version=”4.14.7″ […]",https://pycaret.org,my_library,"machine-learning, programming, pycaret, python",2021-02-25T22:18:39.000Z,,,False
876776148,https://www.kdnuggets.com/2020/09/pycaret-21-new.html,,,https://www.kdnuggets.com/2020/09/pycaret-21-new.html,my_library,"pycaret, python",2020-11-03T00:36:09.000Z,,,False
876774875,Modeling in Seconds: Using PyCaret as a Tool for Data Science Fast Decision,,I came across Pycaret while I was browsing on a slack for data scientists. It's a versatile library in which you can apply/evaluate/tune…,https://towardsdatascience.com/modeling-in-seconds-using-pycaret-as-a-tool-for-data-science-fast-decision-making-17c2c5642e17?source=rss----7f60cf5620c9---4,my_library,"machine-learning, pycaret, python",2020-05-15T11:28:22.000Z,https://miro.medium.com/v2/resize:fit:1200/1*BWdJQGj2xJ6PuRlnx4bNsg.jpeg,,False
