id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876797998,I found a hidden gem in Matplotlib’s library: Packed Bubble Charts in Pytho,,Ever wished to design those beautiful Tableau based packed bubble charts? Follow along for a tutorial on the Matplotlib solution,https://towardsdatascience.com/i-found-a-hidden-gem-in-matplotlibs-library-packed-bubble-charts-in-python-d0f5d892beb7?source=rss----7f60cf5620c9---4,my_library,"matplotlib, visualization",2024-07-30T18:51:20.000Z,https://miro.medium.com/v2/resize:fit:890/1*S6VkCD3s72MhxCI4qskyWQ.png,,False
876794055,Matplotlib: Make Your Plotting Life Easier with rcParams,,Consistently beautiful plots with less code and minimal effort,https://towardsdatascience.com/matplotlib-make-your-plotting-life-easier-with-rcparams-d88f202fa83c?source=rss----7f60cf5620c9---4,my_library,"matplotlib, visualization",2024-02-21T14:44:19.000Z,https://miro.medium.com/v2/resize:fit:811/1*xLV-QQ6hpJMWJMYbXgQAQw.png,,False
876790993,3 Unique Charts You Wouldn’t Think Were Created with Matplotlib,,Utilising Python’s Matplotlib to Create Advanced Data Visualisations,https://towardsdatascience.com/3-unique-charts-created-with-matplotlib-you-probably-havent-seen-before-421ab8cdd36f,my_library,"matplotlib, python, visualization",2023-03-21T18:51:26.000Z,https://miro.medium.com/v2/resize:fit:975/1*uIp1dJpebnY7K5T56kmtQg.png,,False
876787629,Stream Graphs Basics with Python's Matplotlib,,The good-looking cousin of stacked area charts,https://towardsdatascience.com/stream-graphs-basics-with-pythons-matplotlib-5165828359a5?source=rss----7f60cf5620c9---4,my_library,"graphs, matplotlib, python, visualization",2022-07-26T22:50:21.000Z,https://miro.medium.com/v2/resize:fit:1200/1*XpLxl8Uv2FhNXQUJVez8Pw.png,,False
876787625,4 Quick Tricks For Better Plots in Matplotlib,,"Easily adding arrows, multiple axes, gradient fill, and more",https://towardsdatascience.com/4-quick-tricks-for-better-plots-in-matplotlib-1efd82acd780,my_library,"matplotlib, python, visualization",2022-07-26T12:42:14.000Z,https://miro.medium.com/v2/resize:fit:432/1*RFzK2_u8QjPnakNWdK9taA.png,,False
876784087,Animated and Racing Bar Plots Tutorial,,,https://towardsdatascience.com/animated-and-racing-bar-plots-tutorial-7967a45c4753?source=rss----7f60cf5620c9---4,my_library,"animation, matplotlib, python, visualization",2022-06-04T20:27:52.000Z,,,False
876779198,"Seaborn can do the job, then why Matplotlib?",,Should you bypass Matplotlib?,https://towardsdatascience.com/seaborn-can-do-the-job-then-why-matplotlib-dac8d2d24a5f?source=rss----7f60cf5620c9---4,my_library,"matplotlib, python, seaborn, visualization",2021-06-12T18:53:58.000Z,https://miro.medium.com/v2/da:true/resize:fit:1200/0*WulakottOyQ6wVNi,,False
876779028,Show HN: MPL Plotter – Python library to make technical plots more efficien,,Publication-quality data representation library based on Matplotlib. - alopezrivera/mpl_plotter,https://github.com/antonlopezr/mpl_plotter,my_library,"matplotlib, python, visualization",2021-05-18T16:56:36.000Z,https://opengraph.githubassets.com/bd14408038e7fe7b79ac1e967eeee771bdbd99ba14f2866ddde1d66c7493d446/alopezrivera/mpl_plotter,,False
876774705,3 Python Visualization Libraries You MUST Know as A Data Scientist,,"In real life, data preprocessing is really a pain for most data scientists. But with the help of data visualization libraries, it actually…",https://towardsdatascience.com/3-python-visualization-libraries-you-must-know-as-a-data-scientist-8d0cd25e1c73?source=rss----7f60cf5620c9---4,my_library,"matplotlib, python, seaborn, visualization",2020-04-19T14:02:58.000Z,https://miro.medium.com/v2/resize:fit:1200/1*78SqTXRXtDgc4rlrnmJzaA.png,,False
876774657,Visualize Categorical Relationships With Catscatter,,What if you can create a scatter plot for categorical features?,https://towardsdatascience.com/visualize-categorical-relationships-with-catscatter-e60cdb164395?source=rss----7f60cf5620c9---4,my_library,"matplotlib, python, visualization",2020-04-08T01:49:26.000Z,https://miro.medium.com/v2/resize:fit:1200/1*KrbRuiBUy7LsADuQbcws1A.png,,False
