id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876795367,The Ultimate Guide to Free SVG Generators,,"SVG (Scalable Vector Graphics) stand out for their crispness and scalability, making them...",https://dev.to/lilxyzz/the-ultimate-guide-to-free-svg-generators-4ce4,my_library,"svg, webdev",2024-03-11T00:19:17.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2F4dk478qx37mi2nr5to4o.png",,False
876792695,A Deep Dive Into SVG Path Commands,,An interactive guide to understanding SVG paths and path commands.,https://www.nan.fyi/svg-paths,my_library,"svg, visualization, webdev",2023-07-22T17:52:22.000Z,https://www.nan.fyi/_next/static/media/metadata/opengraph-image.e48e994a.png,,False
876790991,Customize and apply backgrounds fast | SVG Backgrounds,,"👉 Copy-and-paste backgrounds, patterns, icons, and other website graphics directly into projects. All customizable, tiny in file size, and licensed for multi-use.",https://www.svgbackgrounds.com,my_library,"css, svg, webdev",2023-03-21T15:17:02.000Z,https://www.svgbackgrounds.com/img/svg-backgrounds-preview.png,,False
876790755,Articles — Smashing Magazine,,"Smashing Magazine — front-end, UX and design for front-end engineers and designers",https://www.smashingmagazine.com/articles,my_library,"browsers, css, html, svg, ui-ux, webdev",2023-02-22T00:13:58.000Z,,,False
876790729,Putting Gears In Motion: Animating Cars With HTML And SVG,,"SVG `` provides a way to define how an element moves along a motion path. In this article, Paul Scanlon shares an idea of how to use it by animating race cars in an infinite loop as easy as one-two-three!",https://www.smashingmagazine.com/2023/02/putting-gears-motion-animating-cars-with-html-svg,my_library,"animation, html, svg, webdev",2023-02-17T21:45:24.000Z,https://files.smashing.media/articles/animate-race-cars-using-html/putting-gears-motion-animating-cars-with-html-svg.jpg,,False
876790728,Easy SVG Customization And Animation: A Practical Guide,,"Developers often feel discouraged from editing SVG markup and experimenting with SVG animations, thinking it’s a significant time investment or they need to use a complex animation library to do so. In this article, Adrian showcases his favorite tricks, which make the process streamlined and fun.",https://smashingmagazine.com/2023/01/svg-customization-animation-practical-guide,my_library,"animation, svg, webdev",2023-02-17T21:45:22.000Z,https://files.smashing.media/articles/svg-customization-animation-practical-guide/meta-sharing-image-svg-customization-animation-practical-guide.jpg,,False
876790725,SVG — Smashing Magazine,,"Smashing Magazine — front-end, UX and design for front-end engineers and designers",https://www.smashingmagazine.com/category/svg,my_library,"animation, svg, webdev",2023-02-17T14:04:43.000Z,https://smashingmagazine.com/images/smashing-category.png,,False
876784010,Magical SVG Techniques,,"Smart SVG techniques, from generative SVG grids to SVG paths with masks, grainy SVG gradients, cut-out effects and fractional SVG stars. Let’s look at some magical SVG techniques that you can use right away.",https://smashingmagazine.com/2022/05/magical-svg-techniques,my_library,"programming, svg, visualization, webdev",2022-05-29T20:48:59.000Z,https://archive.smashing.media/assets/344dbf88-fdf9-42bb-adb4-46f01eedd629/6be13a6e-5850-49e2-82b0-89d47212c66c/animated-debit-card-opt.png,,False
876783972,An in-depth SVG tutorial,,SVG is an awesome and incredibly powerful image format. This tutorial gives you an overview of SVG by explaining all you need to know in a simple way,https://flaviocopes.com/svg,my_library,"svg, visualization, webdev",2022-05-28T00:58:30.000Z,https://flaviocopes.com/og.jpg,,False
876781072,A Practical Guide to SVGs on the web,,,https://svgontheweb.com,my_library,"svg, webdev",2021-12-26T21:11:55.000Z,,,False
876780883,"Creating Web Icons with SVG Online Class | LinkedIn Learning, formerly Lynda.com",,"Get crisper, smaller web graphics with SVG. Learn three different methods to implement SVG web icons on websites and in WordPress themes.",https://www.lynda.com/CSS-tutorials/Web-Icons-SVG/502312-2.html,my_library,"svg, webdev",2021-12-13T12:21:40.000Z,https://media.licdn.com/dms/image/v2/C4E0DAQFfck93OgM_aQ/learning-public-crop_675_1200/learning-public-crop_675_1200/0/1567118313605?e=2147483647&v=beta&t=djo_jXtRjBkGNwc-LezkLOMyyrg5uiG85ZCTy6Z9b5U,,False
876778036,SVG Repo - Free SVG Vectors and Icons,,Free Vectors and Icons in SVG format. ✅ Download free mono or multi color vectors for commercial use. Search in 500.000+ Free SVG Vectors and Icons.,https://www.svgrepo.com,my_library,"images, programming, svg, webdev",2021-02-12T22:34:53.000Z,https://www.svgrepo.com/social.png,,False
